tumor,gt_top,encoded_top,intersection
tgm001_preop,"['3048', '3073', '3144', '3159', '3080', '3062', '3184', '3143', '3132', '3101', '3136', '3147', '3150', '3052', '3026']","['3048', '3073', '3144', '3159', '3080', '3062', '3184', '3132', '3101', '3143', '3136', '3141', '3052', '3150', '3147']","['3048' '3052' '3062' '3073' '3080' '3101' '3132' '3136' '3143' '3144'
 '3147' '3150' '3159' '3184']"
tgm002_preop,"['3188', '3092', '3031', '3069', '3128', '3028', '3173', '3195', '3167', '3013', '3107', '3023', '3118', '3043', '3025']","['3171', '3181', '3154', '3030', '3057', '3121', '3125', '3055', '3006', '3152', '3085', '3047', '3009', '3066', '3194']",[]
tgm003_preop,"['3000', '3001', '3002', '3003', '3004', '3005', '3006', '3007', '3008', '3009', '3010', '3011', '3012', '3013', '3014']","['3171', '3181', '3154', '3030', '3057', '3121', '3125', '3055', '3006', '3152', '3085', '3047', '3066', '3009', '3194']",['3006' '3009']
tgm004_preop,"['3000', '3001', '3002', '3003', '3004', '3005', '3006', '3007', '3008', '3009', '3010', '3011', '3012', '3013', '3014']","['3171', '3181', '3154', '3030', '3057', '3121', '3125', '3055', '3006', '3152', '3085', '3047', '3066', '3009', '3194']",['3006' '3009']
tgm005_preop,"['3082', '3116', '3152', '3131', '3109', '3096', '3114', '3087', '3151', '3174', '3113', '3105', '3169', '3081', '3077']","['3082', '3152', '3116', '3087', '3113', '3074', '3131', '3109', '3114', '3096', '3071', '3151', '3174', '3171', '3055']","['3082' '3087' '3096' '3109' '3113' '3114' '3116' '3131' '3151' '3152'
 '3174']"
tgm006_preop,"['3066', '3090', '3131', '3186', '3096', '3174', '3151', '3100', '3169', '3007', '3097', '3114', '3109', '3179', '3071']","['3066', '3121', '3171', '3083', '3030', '3154', '3181', '3074', '3152', '3125', '3057', '3055', '3071', '3047', '3006']",['3066' '3071']
tgm008_preop,"['3030', '3162', '3011', '3192', '3027', '3003', '3166', '3093', '3088', '3023', '3185', '3041', '3065', '3157', '3103']","['3030', '3162', '3088', '3192', '3181', '3171', '3154', '3011', '3047', '3125', '3057', '3121', '3055', '3009', '3152']",['3011' '3030' '3088' '3162' '3192']
tgm009_preop,"['3194', '3074', '3113', '3174', '3071', '3163', '3131', '3169', '3146', '3151', '3044', '3005', '3096', '3058', '3130']","['3194', '3074', '3181', '3154', '3171', '3055', '3113', '3071', '3030', '3057', '3121', '3006', '3152', '3066', '3125']",['3071' '3074' '3113' '3194']
tgm010_preop,"['3187', '3145', '3067', '3190', '3028', '3031', '3188', '3053', '3128', '3069', '3043', '3025', '3167', '3120', '3122']","['3187', '3188', '3057', '3145', '3190', '3053', '3067', '3171', '3031', '3121', '3028', '3181', '3009', '3014', '3139']",['3028' '3031' '3053' '3067' '3145' '3187' '3188' '3190']
tgm011_preop,"['3087', '3116', '3152', '3094', '3123', '3105', '3109', '3096', '3019', '3114', '3122', '3131', '3151', '3150', '3050']","['3087', '3116', '3152', '3094', '3105', '3109', '3123', '3082', '3114', '3096', '3034', '3131', '3019', '3139', '3171']","['3019' '3087' '3094' '3096' '3105' '3109' '3114' '3116' '3123' '3131'
 '3152']"
tgm013_preop,"['3009', '3092', '3195', '3093', '3041', '3166', '3199', '3013', '3023', '3104', '3064', '3118', '3038', '3065', '3103']","['3171', '3181', '3154', '3030', '3057', '3121', '3125', '3006', '3055', '3152', '3047', '3085', '3009', '3066', '3074']",['3009']
tgm014_preop,"['3162', '3011', '3192', '3047', '3027', '3093', '3003', '3142', '3065', '3023', '3187', '3104', '3086', '3185', '3157']","['3162', '3011', '3192', '3047', '3187', '3140', '3009', '3093', '3027', '3030', '3003', '3088', '3086', '3142', '3007']",['3003' '3011' '3027' '3047' '3086' '3093' '3142' '3162' '3187' '3192']
tgm015_preop,"['3131', '3116', '3109', '3096', '3114', '3174', '3151', '3105', '3082', '3169', '3179', '3032', '3094', '3015', '3090']","['3131', '3096', '3109', '3116', '3151', '3174', '3082', '3074', '3169', '3114', '3152', '3087', '3113', '3105', '3083']",['3082' '3096' '3105' '3109' '3114' '3116' '3131' '3151' '3169' '3174']
tgm016_preop,"['3140', '3159', '3007', '3147', '3143', '3186', '3184', '3073', '3090', '3052', '3026', '3150', '3004', '3136', '3182']","['3140', '3007', '3159', '3147', '3060', '3186', '3080', '3143', '3187', '3170', '3073', '3184', '3052', '3090', '3162']",['3007' '3052' '3073' '3090' '3140' '3143' '3147' '3159' '3184' '3186']
tgm017_preop,"['3144', '3073', '3090', '3186', '3048', '3184', '3159', '3132', '3150', '3052', '3179', '3143', '3100', '3062', '3007']","['3144', '3073', '3090', '3184', '3186', '3048', '3159', '3132', '3062', '3150', '3066', '3100', '3179', '3152', '3052']","['3048' '3052' '3062' '3073' '3090' '3100' '3132' '3144' '3150' '3159'
 '3179' '3184' '3186']"
tgm018_preop,"['3036', '3049', '3158', '3195', '3167', '3013', '3118', '3043', '3064', '3120', '3038', '3191', '3134', '3117', '3103']","['3057', '3171', '3154', '3121', '3181', '3125', '3030', '3055', '3006', '3085', '3009', '3152', '3047', '3188', '3014']",[]
tgm019_preop,"['3086', '3140', '3045', '3172', '3168', '3156', '3035', '3046', '3170', '3157', '3001', '3029', '3126', '3004', '3026']","['3140', '3086', '3045', '3168', '3060', '3170', '3147', '3172', '3159', '3011', '3007', '3004', '3192', '3143', '3020']",['3004' '3045' '3086' '3140' '3168' '3170' '3172']
