tumor,gt_top,encoded_top,intersection
tgm001_preop,"['3144', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3080']","['3048', '3073', '3144', '3080', '3159', '3062', '3101', '3132', '3143', '3184', '3136', '3141', '3052', '3150', '3076']",['3080' '3144']
tgm002_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3171', '3154', '3181', '3057', '3030', '3121', '3125', '3006', '3055', '3085', '3047', '3152', '3009', '3066', '3188']","['3006' '3009' '3030' '3047' '3055' '3057' '3085' '3121' '3125' '3152'
 '3154' '3171' '3181']"
tgm003_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3171', '3154', '3181', '3030', '3057', '3121', '3006', '3125', '3055', '3085', '3047', '3152', '3066', '3074', '3009']","['3006' '3009' '3030' '3047' '3055' '3057' '3074' '3085' '3121' '3125'
 '3152' '3154' '3171' '3181']"
tgm004_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3171', '3154', '3181', '3030', '3057', '3121', '3006', '3125', '3055', '3085', '3047', '3152', '3066', '3074', '3009']","['3006' '3009' '3030' '3047' '3055' '3057' '3074' '3085' '3121' '3125'
 '3152' '3154' '3171' '3181']"
tgm005_preop,"['3152', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3082', '3055', '3125', '3074', '3194', '3085', '3047']","['3082', '3152', '3116', '3087', '3113', '3074', '3131', '3109', '3114', '3071', '3096', '3151', '3174', '3181', '3006']",['3006' '3074' '3082' '3152' '3181']
tgm006_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3066']","['3066', '3121', '3083', '3171', '3030', '3074', '3154', '3071', '3006', '3057', '3055', '3181', '3152', '3125', '3047']","['3006' '3030' '3047' '3055' '3057' '3066' '3074' '3121' '3125' '3152'
 '3154' '3171' '3181']"
tgm008_preop,"['3030', '3181', '3171', '3154', '3121', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3088', '3162', '3192', '3154', '3011', '3181', '3171', '3047', '3055', '3125', '3057', '3009', '3121', '3006']","['3006' '3009' '3030' '3047' '3055' '3057' '3121' '3125' '3154' '3171'
 '3181']"
tgm009_preop,"['3194', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3074', '3085', '3047', '3009']","['3194', '3074', '3181', '3071', '3154', '3113', '3006', '3171', '3055', '3030', '3121', '3057', '3083', '3082', '3066']",['3006' '3030' '3055' '3057' '3074' '3121' '3154' '3171' '3181' '3194']
tgm010_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3188', '3074']","['3187', '3188', '3057', '3171', '3145', '3190', '3053', '3121', '3031', '3067', '3085', '3009', '3028', '3014', '3047']",['3047' '3057' '3085' '3121' '3171' '3188']
tgm011_preop,"['3087', '3152', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3055', '3125', '3194', '3085', '3047', '3074']","['3087', '3116', '3152', '3094', '3105', '3109', '3123', '3082', '3114', '3096', '3139', '3034', '3019', '3131', '3181']",['3087' '3152' '3181']
