tumor,gt_top,encoded_top,intersection
tgm001_preop,"['5509', '4608', '4782', '5751', '5039', '5684', '5406', '5904', '4876', '5133', '4126', '4988', '5431', '4357', '5505']","['5509', '4608', '5133', '4718', '5684', '4782', '5956', '5751', '5044', '4742', '5431', '5406', '5564', '5888', '5992']",['4608' '4782' '5133' '5406' '5431' '5509' '5684' '5751']
tgm002_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535', '5337']","['4082', '5958', '5206', '5767', '5771', '4087', '4535', '5243', '5815', '4702', '5677', '4873', '4896', '4137', '5619']",['4082' '4087' '4535' '4702' '5677' '5815' '5958']
tgm003_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535', '5337']","['4082', '5958', '5206', '5767', '5771', '4087', '4702', '5815', '5243', '4535', '4873', '5677', '5619', '4137', '4896']",['4082' '4087' '4535' '4702' '5677' '5815' '5958']
tgm004_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535', '5337']","['4082', '5958', '5206', '5767', '5771', '4087', '4702', '5815', '5243', '4535', '4873', '5677', '5619', '4137', '4896']",['4082' '4087' '4535' '4702' '5677' '5815' '5958']
tgm005_preop,"['4134', '5105', '4476', '4789', '4668', '5100', '4373', '4609', '4996', '5677', '5450', '5904', '5383', '4087', '4702']","['4984', '4789', '5105', '4657', '4476', '4223', '4609', '4134', '4502', '4507', '4814', '4709', '5784', '5100', '4230']",['4134' '4476' '4609' '4789' '5100' '5105']
tgm006_preop,"['4137', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535']","['4137', '5574', '4632', '4475', '5958', '5358', '5767', '4663', '5677', '5533', '4772', '4699', '4134', '5063', '4217']",['4137' '5677' '5958']
tgm008_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4902', '4535']","['4548', '4796', '5355', '5948', '5233', '4902', '5433', '5845', '5249', '4738', '4128', '4008', '4217', '4979', '5788']",['4902']
tgm009_preop,"['4999', '4772', '4668', '4373', '4996', '5677', '5450', '5904', '4202', '5383', '4087', '4702', '5815', '5715', '4082']","['4772', '4999', '4202', '5715', '5450', '5100', '4285', '5575', '4416', '4373', '5815', '5337', '5731', '4663', '5892']",['4202' '4373' '4772' '4999' '5450' '5715' '5815']
tgm010_preop,"['5745', '5322', '4087', '5081', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4702', '5815', '4082', '5778']","['4406', '5745', '5926', '5081', '5322', '5053', '4330', '5589', '4087', '5482', '5778', '5472', '4159', '5024', '5765']",['4087' '5081' '5322' '5745' '5778']
tgm011_preop,"['4668', '5686', '5383', '4476', '4134', '5422', '4373', '4996', '5677', '5408', '5450', '5904', '4087', '4702', '5815']","['5686', '4668', '5003', '4888', '4201', '4709', '5408', '5955', '5422', '5449', '4476', '4448', '4328', '5383', '4704']",['4476' '4668' '5383' '5408' '5422' '5686']
tgm013_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535', '5337']","['5958', '4082', '5206', '4087', '4217', '4535', '5771', '5767', '5243', '5815', '4702', '4919', '5677', '4137', '4896']",['4082' '4087' '4535' '4702' '5677' '5815' '5958']
tgm014_preop,"['4796', '4976', '5233', '5589', '5563', '5845', '4548', '4087', '4968', '4902', '4668', '4848', '4373', '4996', '5677']","['4796', '4976', '4933', '5671', '5766', '5233', '5845', '4848', '5250', '5589', '5640', '5599', '4700', '5563', '4822']",['4796' '4848' '4976' '5233' '5563' '5589' '5845']
tgm015_preop,"['5574', '4789', '5955', '5449', '4668', '4230', '4609', '5958', '4134', '4137', '4984', '5383', '5105', '4373', '5100']","['5574', '4230', '5955', '5449', '4049', '5452', '4193', '4412', '4580', '4056', '4709', '4956', '4814', '4488', '4990']",['4230' '5449' '5574' '5955']
tgm016_preop,"['4741', '4290', '4876', '4257', '4933', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5227']","['4741', '5844', '5284', '4933', '4787', '4637', '4297', '5250', '5405', '4876', '4290', '5640', '4006', '4159', '5994']",['4290' '4741' '4876' '4933']
tgm017_preop,"['5406', '4122', '4357', '4403', '4782', '5227', '4569', '4876', '5751', '4695', '5904', '4996', '5422', '4290', '5431']","['5406', '5059', '5044', '4939', '5992', '4357', '5431', '4569', '5448', '4257', '5751', '4403', '5227', '5687', '5197']",['4357' '4403' '4569' '5227' '5406' '5431' '5751']
tgm018_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535', '5337']","['5464', '4919', '5677', '4099', '5958', '4082', '5243', '5771', '4535', '4087', '5024', '5776', '5047', '5513', '5866']",['4082' '4087' '4535' '5677' '5958']
tgm019_preop,"['4297', '4933', '4311', '5671', '5048', '4741', '4848', '5640', '5134', '4578', '4584', '4471', '5842', '5627', '4902']","['4933', '4578', '5671', '4297', '4787', '4311', '5048', '5250', '5844', '5640', '4848', '4637', '4427', '5284', '5766']",['4297' '4311' '4578' '4848' '4933' '5048' '5640' '5671']
tgm021_preop,"['5871', '5244', '5412', '4793', '5292', '5748', '4668', '4373', '4996', '5677', '5450', '5334', '5383', '5904', '4087']","['5412', '5244', '5902', '5779', '5797', '4658', '4900', '5292', '5334', '5435', '4983', '5871', '5102', '4567', '4636']",['5244' '5292' '5334' '5412' '5871']
tgm022_preop,"['4668', '4919', '4373', '4996', '4535', '5677', '5450', '5184', '5904', '5383', '4087', '4702', '5815', '4082', '4126']","['4535', '4919', '5184', '4087', '4217', '4835', '4082', '5206', '5243', '5958', '4839', '5771', '5778', '5815', '5767']",['4082' '4087' '4535' '4919' '5184' '5815']
tgm023_preop,"['4668', '4134', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535']","['4668', '4134', '5383', '4702', '4082', '5815', '4873', '5619', '4126', '4331', '5206', '4839', '5100', '5904', '4535']",['4082' '4126' '4134' '4535' '4668' '4702' '5383' '5815' '5904']
tgm024_preop,"['5464', '5024', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958']","['5464', '5024', '4143', '5164', '4595', '4614', '5513', '5765', '4865', '4711', '4099', '5931', '5500', '5866', '4564']",['5024' '5464']
tgm025_preop,"['4796', '5024', '4668', '4373', '4087', '4996', '5677', '5450', '5904', '5383', '4702', '5815', '4082', '4126', '5958']","['5024', '5053', '4614', '4087', '4796', '4822', '5712', '5069', '4352', '5563', '5112', '4968', '5765', '5589', '5164']",['4087' '4796' '5024']
tgm026_preop,"['4352', '4979', '5021', '4796', '5112', '4822', '5069', '4668', '4373', '4996', '5677', '4087', '4919', '5450', '5904']","['4352', '5032', '5069', '5112', '4822', '5021', '5967', '4979', '5257', '4131', '4968', '4563', '5928', '5563', '4919']",['4352' '4822' '4919' '4979' '5021' '5069' '5112']
tgm027_preop,"['4290', '4668', '4373', '4996', '5227', '5677', '4126', '5450', '5904', '5383', '4087', '4702', '4876', '5815', '4082']","['4290', '5227', '4876', '5363', '5047', '4424', '4257', '5994', '5039', '5493', '4031', '5065', '4637', '5771', '4741']",['4290' '4876' '5227']
tgm028_preop,"['4781', '4819', '4204', '4660', '4692', '4246', '4052', '4668', '5322', '5909', '4373', '4996', '5677', '5450', '5904']","['4781', '4819', '4660', '4204', '4246', '5909', '4692', '4800', '4447', '4034', '4616', '5972', '4269', '4894', '5481']",['4204' '4246' '4660' '4692' '4781' '4819' '5909']
tgm029_preop,"['5921', '4669', '4359', '4910', '5383', '5748', '4344', '4668', '4373', '4996', '5677', '5450', '5904', '4087', '4702']","['4669', '5921', '4910', '4344', '4611', '5562', '5748', '5660', '4461', '5383', '4359', '4661', '4165', '4857', '5656']",['4344' '4359' '4669' '4910' '5383' '5748' '5921']
tgm030_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535', '5337']","['4082', '5958', '5206', '5767', '5771', '4087', '4702', '5815', '5243', '4535', '4873', '5677', '5619', '4137', '4896']",['4082' '4087' '4535' '4702' '5677' '5815' '5958']
