tumor,gt_top,encoded_top,intersection
tgm001_preop,"['3073', '3184', '3090', '3144', '3186', '3179', '3132', '3004', '3015', '3062', '3048', '3052', '3143', '3100', '3182']","['3144', '3073', '3184', '3090', '3048', '3062', '3132', '3179', '3015', '3100', '3101', '3004', '3186', '3182', '3052']","['3004' '3015' '3048' '3052' '3062' '3073' '3090' '3100' '3132' '3144'
 '3179' '3182' '3184' '3186']"
tgm002_preop,"['3057', '3133', '3069', '3031', '3188', '3028', '3043', '3067', '3167', '3064', '3128', '3038', '3120', '3049', '3013']","['3057', '3133', '3069', '3188', '3031', '3028', '3167', '3043', '3014', '3120', '3064', '3038', '3067', '3049', '3128']","['3028' '3031' '3038' '3043' '3049' '3057' '3064' '3067' '3069' '3120'
 '3128' '3133' '3167' '3188']"
tgm003_preop,"['3162', '3011', '3018', '3027', '3003', '3089', '3023', '3065', '3166', '3093', '3060', '3185', '3041', '3180', '3198']","['3162', '3030', '3018', '3011', '3192', '3027', '3003', '3171', '3089', '3009', '3154', '3060', '3187', '3121', '3088']",['3003' '3011' '3018' '3027' '3060' '3089' '3162']
tgm004_preop,"['3162', '3018', '3011', '3027', '3003', '3023', '3075', '3065', '3007', '3124', '3180', '3198', '3093', '3098', '3010']","['3171', '3154', '3030', '3181', '3009', '3055', '3125', '3121', '3088', '3188', '3192', '3085', '3162', '3084', '3187']",['3162']
tgm005_preop,"['3131', '3116', '3082', '3151', '3109', '3096', '3105', '3174', '3123', '3152', '3094', '3087', '3114', '3169', '3090']","['3131', '3082', '3116', '3152', '3151', '3109', '3096', '3087', '3074', '3113', '3105', '3071', '3174', '3169', '3114']","['3082' '3087' '3096' '3105' '3109' '3114' '3116' '3131' '3151' '3152'
 '3169' '3174']"
tgm006_preop,"['3066', '3131', '3071', '3083', '3186', '3116', '3007', '3151', '3090', '3109', '3096', '3105', '3082', '3174', '3097']","['3121', '3154', '3066', '3171', '3030', '3071', '3152', '3009', '3125', '3074', '3055', '3088', '3181', '3188', '3187']",['3066' '3071']
tgm008_preop,"['3162', '3011', '3192', '3030', '3027', '3003', '3009', '3023', '3047', '3166', '3065', '3041', '3104', '3093', '3142']","['3162', '3030', '3011', '3192', '3003', '3009', '3047', '3027', '3088', '3065', '3023', '3093', '3185', '3166', '3142']","['3003' '3009' '3011' '3023' '3027' '3030' '3047' '3065' '3093' '3142'
 '3162' '3166' '3192']"
tgm009_preop,"['3194', '3074', '3113', '3071', '3083', '3131', '3082', '3151', '3163', '3146', '3174', '3169', '3005', '3096', '3109']","['3194', '3113', '3074', '3154', '3171', '3071', '3130', '3181', '3055', '3030', '3082', '3088', '3084', '3121', '3009']",['3071' '3074' '3082' '3113' '3194']
tgm010_preop,"['3190', '3145', '3067', '3031', '3128', '3028', '3069', '3053', '3043', '3122', '3120', '3187', '3032', '3188', '3167']","['3190', '3187', '3145', '3188', '3053', '3031', '3067', '3028', '3122', '3019', '3032', '3128', '3051', '3069', '3099']","['3028' '3031' '3032' '3053' '3067' '3069' '3122' '3128' '3145' '3187'
 '3188' '3190']"
tgm011_preop,"['3087', '3152', '3116', '3109', '3105', '3131', '3151', '3019', '3094', '3122', '3096', '3082', '3150', '3132', '3050']","['3087', '3152', '3116', '3109', '3082', '3105', '3131', '3151', '3019', '3139', '3034', '3096', '3094', '3113', '3122']","['3019' '3082' '3087' '3094' '3096' '3105' '3109' '3116' '3122' '3131'
 '3151' '3152']"
tgm013_preop,"['3009', '3006', '3199', '3195', '3092', '3166', '3013', '3041', '3003', '3128', '3030', '3023', '3104', '3065', '3064']","['3154', '3171', '3030', '3009', '3181', '3055', '3088', '3125', '3188', '3121', '3084', '3006', '3085', '3192', '3057']",['3006' '3009' '3030']
tgm014_preop,"['3162', '3011', '3192', '3047', '3142', '3027', '3187', '3023', '3065', '3003', '3104', '3086', '3093', '3045', '3035']","['3011', '3162', '3192', '3047', '3187', '3027', '3009', '3003', '3140', '3065', '3023', '3093', '3030', '3142', '3086']","['3003' '3011' '3023' '3027' '3047' '3065' '3086' '3093' '3142' '3162'
 '3187' '3192']"
tgm015_preop,"['3131', '3116', '3109', '3151', '3082', '3096', '3174', '3105', '3094', '3087', '3123', '3169', '3032', '3114', '3019']","['3131', '3116', '3109', '3082', '3151', '3096', '3087', '3174', '3152', '3074', '3105', '3113', '3169', '3094', '3123']","['3082' '3087' '3094' '3096' '3105' '3109' '3116' '3123' '3131' '3151'
 '3169' '3174']"
tgm016_preop,"['3140', '3159', '3147', '3143', '3073', '3004', '3184', '3026', '3086', '3136', '3007', '3168', '3062', '3101', '3029']","['3140', '3159', '3147', '3060', '3143', '3004', '3086', '3007', '3080', '3136', '3073', '3026', '3101', '3052', '3168']","['3004' '3007' '3026' '3073' '3086' '3101' '3136' '3140' '3143' '3147'
 '3159' '3168']"
tgm017_preop,"['3144', '3073', '3090', '3184', '3048', '3186', '3132', '3101', '3062', '3179', '3004', '3150', '3052', '3015', '3159']","['3144', '3073', '3184', '3090', '3048', '3132', '3062', '3101', '3186', '3066', '3100', '3179', '3152', '3015', '3150']","['3015' '3048' '3062' '3073' '3090' '3101' '3132' '3144' '3150' '3179'
 '3184' '3186']"
tgm018_preop,"['3057', '3014', '3036', '3013', '3069', '3038', '3028', '3043', '3167', '3049', '3031', '3195', '3120', '3064', '3092']","['3057', '3188', '3014', '3171', '3009', '3121', '3154', '3187', '3036', '3031', '3133', '3055', '3069', '3167', '3085']",['3014' '3031' '3036' '3057' '3069' '3167']
tgm019_preop,"['3086', '3140', '3045', '3172', '3046', '3029', '3157', '3168', '3156', '3035', '3127', '3126', '3001', '3011', '3004']","['3140', '3086', '3060', '3011', '3027', '3045', '3147', '3004', '3047', '3168', '3172', '3192', '3170', '3162', '3007']",['3004' '3011' '3045' '3086' '3140' '3168' '3172']
tgm021_preop,"['3069', '3133', '3057', '3028', '3031', '3120', '3043', '3067', '3014', '3190', '3051', '3002', '3032', '3167', '3128']","['3133', '3057', '3069', '3028', '3051', '3014', '3120', '3043', '3031', '3019', '3190', '3032', '3002', '3053', '3188']","['3002' '3014' '3028' '3031' '3032' '3043' '3051' '3057' '3069' '3120'
 '3133' '3190']"
