tumor,gt_top,encoded_top,intersection
tgm001_preop,"['15140', '12592', '19285', '24648', '16619', '9478', '10662', '22078', '26304', '26267', '22123', '23837', '26291', '10216', '12619']","['10649', '12624', '24836', '14365', '17421', '18813', '22146', '21770', '20441', '19065', '25534', '10876', '27620', '15886', '21869']",[]
tgm002_preop,"['8512', '16354', '24483', '26688', '15111', '8274', '17972', '14800', '17367', '11618', '14441', '24566', '18378', '21513', '12982']","['26858', '23100', '21951', '17852', '21241', '15044', '24090', '21077', '12551', '22829', '21286', '18968', '18154', '10634', '27591']",[]
tgm003_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['21591', '10855', '17858', '27520', '27054', '14175', '11590', '17027', '27523', '18967', '10005', '19018', '8576', '24155', '21200']",[]
tgm004_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['11590', '8122', '14721', '15531', '10896', '27520', '9300', '20237', '16992', '24164', '18410', '18097', '24928', '13437', '24774']",[]
tgm005_preop,"['16428', '22724', '14527', '19930', '8218', '22226', '21711', '14543', '21898', '21862', '23737', '9903', '13762', '10323', '16537']","['14543', '13095', '8372', '24399', '22724', '9977', '21357', '13769', '9461', '19930', '22226', '13404', '9903', '21711', '21048']",['14543' '19930' '21711' '22226' '22724' '9903']
tgm006_preop,"['8531', '20941', '17098', '17022', '23778', '22357', '21918', '15993', '11124', '8969', '14107', '15932', '8291', '14510', '8822']","['20941', '8822', '17098', '18217', '16065', '8531', '12147', '8969', '16992', '16764', '14107', '22381', '9055', '20883', '16695']",['14107' '17098' '20941' '8531' '8822' '8969']
tgm008_preop,"['20932', '24992', '9273', '12606', '10889', '22314', '24725', '8694', '26384', '24040', '27523', '11256', '25174', '24959', '17096']","['26985', '23551', '8694', '19185', '24244', '12222', '11718', '24959', '27951', '21994', '21346', '11853', '13894', '16280', '15187']",['24959' '8694']
tgm009_preop,"['17228', '9768', '20671', '10416', '26122', '27960', '25899', '20046', '15503', '27967', '27123', '23888', '18866', '22542', '11334']","['9768', '20046', '27967', '16065', '24599', '10355', '23888', '22542', '11325', '8643', '17228', '14464', '20671', '24019', '11052']",['17228' '20046' '20671' '22542' '23888' '27967' '9768']
tgm010_preop,"['12948', '16028', '12426', '27066', '25769', '16840', '19359', '8140', '15673', '22952', '10179', '26482', '12102', '22709', '17711']","['12948', '16736', '16028', '12426', '15756', '16840', '10179', '16217', '23817', '12102', '17741', '9647', '23673', '8140', '27066']",['10179' '12102' '12426' '12948' '16028' '16840' '27066' '8140']
tgm011_preop,"['27715', '19232', '17681', '19582', '10711', '8496', '9861', '11579', '16477', '13210', '18038', '14513', '17218', '23796', '24555']","['27715', '19232', '10711', '11579', '18038', '19582', '14513', '9861', '13320', '18152', '8496', '16477', '27612', '15670', '11576']","['10711' '11579' '14513' '16477' '18038' '19232' '19582' '27715' '8496'
 '9861']"
tgm013_preop,"['8881', '20968', '10106', '21593', '21302', '27172', '19127', '27391', '24134', '18607', '18815', '25525', '23878', '16161', '24633']","['12243', '20237', '15718', '21302', '14721', '10896', '21278', '24774', '21412', '27185', '10639', '18376', '22343', '20299', '27550']",['21302']
