tumor,gt_top,encoded_top,intersection
tgm001_preop,"['9478', '25825', '15140', '26267', '23251', '20098', '22078', '16619', '19285', '25821', '12592', '11461', '10662', '12619', '18204']","['10649', '12624', '24836', '14365', '17421', '18813', '22146', '21770', '20441', '19065', '25534', '10876', '27620', '15886', '21869']",[]
tgm002_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['26858', '23100', '21951', '17852', '21241', '15044', '24090', '21077', '12551', '22829', '21286', '18968', '18154', '10634', '27591']",[]
tgm003_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['21591', '10855', '17858', '27520', '27054', '14175', '11590', '17027', '27523', '18967', '10005', '19018', '8576', '24155', '21200']",[]
tgm004_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['11590', '8122', '14721', '15531', '10896', '27520', '9300', '20237', '16992', '24164', '18410', '18097', '24928', '13437', '24774']",['10896' '13437' '16992']
tgm005_preop,"['8218', '16428', '14527', '21862', '22190', '26245', '20165', '10323', '15670', '11506', '27460', '23737', '26380', '21674', '24555']","['14543', '13095', '8372', '24399', '22724', '9977', '21357', '13769', '9461', '19930', '22226', '13404', '9903', '21711', '21048']",[]
tgm006_preop,"['17098', '20941', '8822', '16065', '8531', '18217', '23401', '12147', '16992', '11618', '18180', '14774', '26450', '10896', '16900']","['20941', '8822', '17098', '18217', '16065', '8531', '12147', '8969', '16992', '16764', '14107', '22381', '9055', '20883', '16695']",['12147' '16065' '16992' '17098' '18217' '20941' '8531' '8822']
tgm008_preop,"['24992', '20932', '27523', '11256', '9273', '26384', '12606', '24725', '8694', '10889', '11590', '11618', '16992', '18180', '14774']","['26985', '23551', '8694', '19185', '24244', '12222', '11718', '24959', '27951', '21994', '21346', '11853', '13894', '16280', '15187']",['8694']
tgm009_preop,"['17228', '9768', '27967', '20046', '18866', '27123', '20671', '27960', '11618', '16992', '18180', '14774', '26450', '10896', '14464']","['9768', '20046', '27967', '16065', '24599', '10355', '23888', '22542', '11325', '8643', '17228', '14464', '20671', '24019', '11052']",['14464' '17228' '20046' '20671' '27967' '9768']
tgm010_preop,"['19507', '19359', '24280', '22952', '8161', '25769', '17711', '12948', '16028', '21359', '8129', '8140', '17188', '10896', '12426']","['12948', '16736', '16028', '12426', '15756', '16840', '10179', '16217', '23817', '12102', '17741', '9647', '23673', '8140', '27066']",['12426' '12948' '16028' '8140']
tgm011_preop,"['27715', '18038', '17681', '24555', '9861', '19232', '19582', '17864', '24515', '15670', '16477', '16332', '21477', '11506', '15603']","['27715', '19232', '10711', '11579', '18038', '19582', '14513', '9861', '13320', '18152', '8496', '16477', '27612', '15670', '11576']",['15670' '16477' '18038' '19232' '19582' '27715' '9861']
