tumor,gt_top,encoded_top,intersection
tgm001_preop,"['3048', '3073', '3144', '3159', '3080', '3062', '3184', '3143', '3132', '3101', '3136', '3147', '3150', '3052', '3026']","['3048', '3073', '3144', '3080', '3159', '3171', '3154', '3062', '3143', '3026', '3132', '3040', '3018', '3015', '3153']",['3026' '3048' '3062' '3073' '3080' '3132' '3143' '3144' '3159']
tgm002_preop,"['3188', '3092', '3031', '3069', '3128', '3028', '3173', '3195', '3167', '3013', '3107', '3023', '3118', '3043', '3025']","['3171', '3153', '3154', '3040', '3125', '3145', '3018', '3054', '3193', '3141', '3082', '3162', '3050', '3034', '3071']",[]
tgm003_preop,"['3000', '3001', '3002', '3003', '3004', '3005', '3006', '3007', '3008', '3009', '3010', '3011', '3012', '3013', '3014']","['3171', '3153', '3154', '3040', '3125', '3145', '3018', '3054', '3193', '3141', '3082', '3162', '3050', '3152', '3034']",[]
tgm004_preop,"['3000', '3001', '3002', '3003', '3004', '3005', '3006', '3007', '3008', '3009', '3010', '3011', '3012', '3013', '3014']","['3171', '3153', '3154', '3040', '3125', '3145', '3018', '3054', '3193', '3141', '3082', '3162', '3050', '3152', '3034']",[]
tgm005_preop,"['3082', '3116', '3152', '3131', '3109', '3096', '3114', '3087', '3151', '3174', '3113', '3105', '3169', '3081', '3077']","['3116', '3152', '3082', '3171', '3154', '3066', '3109', '3153', '3193', '3125', '3144', '3141', '3087', '3133', '3145']",['3082' '3087' '3109' '3116' '3152']
tgm006_preop,"['3066', '3090', '3131', '3186', '3096', '3174', '3151', '3100', '3169', '3007', '3097', '3114', '3109', '3179', '3071']","['3171', '3131', '3154', '3054', '3125', '3153', '3193', '3040', '3141', '3018', '3162', '3085', '3089', '3087', '3144']",['3131']
tgm008_preop,"['3030', '3162', '3011', '3192', '3027', '3003', '3166', '3093', '3088', '3023', '3185', '3041', '3065', '3157', '3103']","['3030', '3171', '3154', '3125', '3166', '3153', '3054', '3040', '3066', '3082', '3193', '3050', '3162', '3152', '3141']",['3030' '3162' '3166']
tgm009_preop,"['3194', '3074', '3113', '3174', '3071', '3163', '3131', '3169', '3146', '3151', '3044', '3005', '3096', '3058', '3130']","['3153', '3040', '3171', '3071', '3145', '3154', '3018', '3141', '3148', '3089', '3054', '3084', '3129', '3080', '3066']",['3071']
tgm010_preop,"['3187', '3145', '3067', '3190', '3028', '3031', '3188', '3053', '3128', '3069', '3043', '3025', '3167', '3120', '3122']","['3145', '3153', '3187', '3171', '3080', '3193', '3089', '3006', '3125', '3154', '3162', '3141', '3071', '3028', '3008']",['3028' '3145' '3187']
tgm011_preop,"['3087', '3116', '3152', '3094', '3123', '3105', '3109', '3096', '3019', '3114', '3122', '3131', '3151', '3150', '3050']","['3087', '3116', '3152', '3109', '3171', '3094', '3154', '3096', '3153', '3105', '3018', '3144', '3150', '3119', '3036']",['3087' '3094' '3096' '3105' '3109' '3116' '3150' '3152']
