tumor,gt_top,encoded_top,intersection
tgm001_preop,"['15140', '12592', '19285', '24648', '16619', '9478', '10662', '22078', '26304', '26267', '22123', '23837', '26291', '10216', '12619']","['19285', '15140', '12592', '24648', '10662', '16619', '9478', '22078', '23837', '19225', '26304', '8812', '14738', '25825', '26267']","['10662' '12592' '15140' '16619' '19285' '22078' '23837' '24648' '26267'
 '26304' '9478']"
tgm002_preop,"['8512', '16354', '24483', '26688', '15111', '8274', '17972', '14800', '17367', '11618', '14441', '24566', '18378', '21513', '12982']","['13437', '25105', '10896', '14910', '11342', '24143', '24183', '12824', '23902', '23814', '26382', '24533', '14721', '17565', '12147']",[]
tgm003_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['13437', '25105', '10896', '14910', '11342', '24183', '24143', '12824', '23814', '23902', '26382', '24533', '14721', '17565', '12147']",[]
tgm004_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['13437', '25105', '10896', '14910', '11342', '24183', '24143', '12824', '23814', '23902', '26382', '24533', '14721', '17565', '12147']",[]
tgm005_preop,"['16428', '22724', '14527', '19930', '8218', '22226', '21711', '14543', '21898', '21862', '23737', '9903', '13762', '10323', '16537']","['16428', '22724', '19930', '14527', '8218', '9903', '15183', '10711', '16537', '8556', '15670', '21898', '23041', '24555', '9115']",['14527' '16428' '16537' '19930' '21898' '22724' '8218' '9903']
tgm006_preop,"['8531', '20941', '17098', '17022', '23778', '22357', '21918', '15993', '11124', '8969', '14107', '15932', '8291', '14510', '8822']","['23778', '20941', '8531', '17098', '18490', '21918', '10282', '17022', '11124', '15932', '13328', '25479', '21372', '25244', '16414']",['11124' '15932' '17022' '17098' '20941' '21918' '23778' '8531']
tgm008_preop,"['20932', '24992', '9273', '12606', '10889', '22314', '24725', '8694', '26384', '24040', '27523', '11256', '25174', '24959', '17096']","['20932', '24992', '11256', '25174', '9273', '24959', '17963', '12606', '27523', '10889', '22314', '24766', '24582', '27951', '24040']","['10889' '11256' '12606' '20932' '22314' '24040' '24959' '24992' '25174'
 '27523' '9273']"
tgm009_preop,"['17228', '9768', '20671', '10416', '26122', '27960', '25899', '20046', '15503', '27967', '27123', '23888', '18866', '22542', '11334']","['17228', '10416', '26122', '9768', '20671', '27712', '27967', '13437', '23415', '27693', '24548', '27960', '22786', '17601', '10896']",['10416' '17228' '20671' '26122' '27960' '27967' '9768']
tgm010_preop,"['12948', '16028', '12426', '27066', '25769', '16840', '19359', '8140', '15673', '22952', '10179', '26482', '12102', '22709', '17711']","['12948', '16028', '12426', '10179', '12102', '27066', '22952', '16840', '19359', '16736', '8140', '10462', '16217', '20611', '15756']","['10179' '12102' '12426' '12948' '16028' '16840' '19359' '22952' '27066'
 '8140']"
tgm011_preop,"['27715', '19232', '17681', '19582', '10711', '8496', '9861', '11579', '16477', '13210', '18038', '14513', '17218', '23796', '24555']","['27715', '19232', '17681', '19582', '18038', '9861', '10711', '8496', '13210', '11576', '15603', '11579', '24555', '17218', '25450']","['10711' '11579' '13210' '17218' '17681' '18038' '19232' '19582' '24555'
 '27715' '8496' '9861']"
tgm013_preop,"['8881', '20968', '10106', '21593', '21302', '27172', '19127', '27391', '24134', '18607', '18815', '25525', '23878', '16161', '24633']","['13437', '25105', '14910', '10896', '11342', '24183', '24143', '23902', '12824', '23814', '26382', '24533', '14721', '12147', '17565']",[]
tgm014_preop,"['26797', '20461', '12366', '13894', '13842', '21994', '11718', '16280', '24244', '18263', '13460', '22265', '15639', '25946', '18465']","['26797', '12366', '16280', '20461', '13894', '11718', '22442', '18591', '21994', '13842', '24244', '10955', '9163', '18263', '22265']","['11718' '12366' '13842' '13894' '16280' '18263' '20461' '21994' '22265'
 '24244' '26797']"
tgm015_preop,"['9840', '8556', '25244', '12647', '13008', '20192', '25479', '19494', '12533', '15552', '9903', '11124', '13126', '15922', '11846']","['9840', '20192', '25244', '13008', '12647', '8556', '15922', '25479', '8822', '12533', '17022', '11124', '19494', '14332', '11846']","['11124' '11846' '12533' '12647' '13008' '15922' '19494' '20192' '25244'
 '25479' '8556' '9840']"
tgm016_preop,"['22183', '27126', '8144', '21817', '15944', '27366', '12856', '23429', '15341', '14310', '27562', '25182', '25445', '23055', '17942']","['27126', '22183', '8144', '12856', '21817', '23429', '15944', '27366', '15341', '14310', '23055', '25445', '26367', '25182', '22031']","['12856' '14310' '15341' '15944' '21817' '22183' '23055' '23429' '25182'
 '25445' '27126' '27366' '8144']"
tgm017_preop,"['20987', '17725', '16345', '13546', '24580', '24415', '15577', '16457', '22908', '14851', '22604', '19294', '21770', '17421', '25774']","['20987', '17725', '16345', '24580', '15577', '13546', '24415', '22604', '14851', '19294', '27590', '16457', '22908', '13449', '12529']","['13546' '14851' '15577' '16345' '16457' '17725' '19294' '20987' '22604'
 '22908' '24415' '24580']"
tgm018_preop,"['13172', '26371', '12184', '19377', '20869', '10747', '12277', '25496', '20806', '27409', '10496', '10783', '23047', '23881', '22087']","['12277', '13437', '10783', '13172', '27409', '9793', '26371', '8041', '23852', '23881', '12184', '17983', '10701', '24183', '20869']",['10783' '12184' '12277' '13172' '20869' '23881' '26371' '27409']
tgm019_preop,"['11055', '21009', '15088', '23550', '26370', '11073', '9233', '11203', '16151', '26809', '27445', '22478', '27985', '11300', '24779']","['21009', '27985', '15088', '9233', '26370', '11203', '18406', '16151', '11055', '26809', '21045', '25980', '19338', '25624', '23550']","['11055' '11203' '15088' '16151' '21009' '23550' '26370' '26809' '27985'
 '9233']"
tgm021_preop,"['21241', '21951', '18051', '16918', '15044', '22251', '11103', '22324', '12551', '16765', '10140', '18826', '21017', '20092', '18364']","['11103', '11176', '23357', '18826', '20092', '15197', '24125', '8918', '15528', '16918', '9123', '18008', '9991', '16765', '17610']",['11103' '16765' '16918' '18826' '20092']
tgm022_preop,"['11618', '26688', '12354', '14441', '24878', '25806', '13699', '11892', '14860', '17367', '26203', '20578', '25998', '20101', '25088']","['11618', '13437', '14910', '25105', '10896', '24183', '14441', '24143', '12824', '11342', '23902', '23814', '26382', '24727', '24533']",['11618' '14441']
tgm023_preop,"['22190', '11506', '24555', '26380', '15670', '18038', '9115', '24409', '22320', '23191', '16408', '12501', '10323', '16477', '9861']","['18038', '13437', '24555', '25105', '10896', '14910', '9861', '24183', '24143', '17681', '11342', '15670', '12824', '23814', '27715']",['15670' '18038' '24555' '9861']
tgm024_preop,"['26371', '20869', '23881', '27629', '10883', '21285', '12184', '11484', '15787', '23852', '20816', '27409', '9875', '25067', '8083']","['20869', '26371', '12184', '8041', '21285', '10883', '8083', '23881', '27629', '23852', '16147', '11484', '27409', '9875', '15787']","['10883' '11484' '12184' '15787' '20869' '21285' '23852' '23881' '26371'
 '27409' '27629' '8083' '9875']"
tgm025_preop,"['16506', '25105', '14910', '24928', '15906', '26100', '26623', '15303', '21994', '16365', '26797', '20461', '9282', '20281', '11718']","['14910', '25105', '26100', '26623', '15906', '13437', '20299', '24533', '27566', '20461', '18882', '23814', '10896', '11342', '11582']",['14910' '15906' '20461' '25105' '26100' '26623']
tgm026_preop,"['16894', '18815', '23920', '26100', '27172', '22860', '15187', '18913', '16077', '24416', '13832', '13187', '16506', '21470', '26389']","['23920', '18815', '26100', '16894', '27172', '21470', '16077', '18913', '15906', '13352', '14910', '15187', '22860', '11582', '24757']","['15187' '16077' '16894' '18815' '18913' '21470' '22860' '23920' '26100'
 '27172']"
tgm027_preop,"['11177', '19974', '16691', '26109', '17729', '9124', '24419', '23960', '24083', '9200', '18140', '24714', '13705', '14774', '9730']","['11177', '19974', '24714', '13705', '25261', '26109', '12174', '23960', '22046', '12300', '9124', '18140', '9730', '24419', '16412']","['11177' '13705' '18140' '19974' '23960' '24419' '24714' '26109' '9124'
 '9730']"
tgm028_preop,"['18108', '20354', '13551', '17180', '21181', '23266', '17817', '15947', '25278', '11789', '17718', '16621', '23922', '14491', '15860']","['18108', '20354', '13551', '21181', '23266', '17180', '15947', '25278', '17718', '17817', '17046', '14491', '16621', '26596', '11189']","['13551' '14491' '15947' '16621' '17180' '17718' '17817' '18108' '20354'
 '21181' '23266' '25278']"
tgm029_preop,"['11472', '12969', '21614', '13206', '9209', '19247', '20096', '14191', '11151', '24516', '26713', '19282', '20930', '15411', '26844']","['12969', '11472', '21614', '14191', '11151', '13206', '20096', '24769', '16631', '24765', '19247', '9209', '18144', '15411', '20930']","['11151' '11472' '12969' '13206' '14191' '15411' '19247' '20096' '20930'
 '21614' '9209']"
tgm030_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['13437', '25105', '10896', '14910', '11342', '24183', '24143', '12824', '23814', '23902', '26382', '24533', '14721', '17565', '12147']",[]
tgm031_preop,"['16457', '24415', '17725', '9860', '14064', '24580', '12529', '19909', '13682', '10836', '21428', '26640', '13546', '14851', '22908']","['16457', '9860', '12529', '19909', '10836', '13546', '24415', '21428', '17725', '23648', '14851', '10664', '21637', '24580', '8367']","['10836' '12529' '13546' '14851' '16457' '17725' '19909' '21428' '24415'
 '24580' '9860']"
tgm033_preop,"['10776', '20874', '16927', '14309', '24423', '14812', '17349', '12143', '21073', '22555', '23121', '22504', '16239', '16753', '9911']","['16927', '25947', '22504', '14309', '27601', '10776', '26730', '24423', '19411', '22628', '21389', '10896', '8184', '12143', '17349']",['10776' '12143' '14309' '16927' '17349' '22504' '24423']
tgm034_preop,"['18882', '20299', '18364', '24436', '17214', '15303', '14241', '26594', '26482', '13634', '18201', '18968', '21359', '20816', '8059']","['18882', '20299', '24436', '15303', '17214', '26482', '20816', '18364', '13634', '8059', '19359', '26594', '21077', '26371', '13437']","['13634' '15303' '17214' '18364' '18882' '20299' '20816' '24436' '26482'
 '26594' '8059']"
tgm035_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['13437', '25105', '10896', '14910', '11342', '24183', '24143', '12824', '23814', '23902', '26382', '24533', '14721', '17565', '12147']",[]
tgm036_preop,"['9310', '19946', '16840', '23053', '10417', '24421', '16837', '24845', '27851', '23673', '23127', '12948', '25028', '24342', '23817']","['9310', '19946', '16840', '10417', '24421', '12948', '23127', '19359', '16837', '24845', '27851', '23053', '23673', '26378', '24682']","['10417' '12948' '16837' '16840' '19946' '23053' '23127' '23673' '24421'
 '24845' '27851' '9310']"
tgm037_preop,"['26844', '15754', '9775', '21892', '19247', '20096', '12317', '21614', '21446', '10890', '22509', '16432', '16035', '17543', '8613']","['26844', '21614', '15754', '19247', '21892', '9775', '20096', '12317', '16035', '21446', '26713', '10890', '8613', '22509', '11472']","['10890' '12317' '15754' '16035' '19247' '20096' '21446' '21614' '21892'
 '22509' '26844' '8613' '9775']"
tgm038_preop,"['11103', '20092', '12071', '16142', '24260', '18008', '17816', '14580', '8918', '15197', '24186', '11176', '15087', '14034', '18826']","['13437', '25105', '10896', '14910', '11342', '24183', '24143', '12824', '23814', '23902', '26382', '24533', '14721', '17565', '12147']",[]
