tumor,gt_top,encoded_top,intersection
tgm001_preop,"['3144', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3080']","['3048', '3073', '3144', '3080', '3159', '3171', '3154', '3062', '3143', '3026', '3132', '3040', '3018', '3015', '3153']",['3080' '3144' '3154' '3171']
tgm002_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3171', '3153', '3154', '3040', '3125', '3145', '3018', '3054', '3193', '3141', '3082', '3162', '3050', '3034', '3071']",['3125' '3154' '3171']
tgm003_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3171', '3153', '3154', '3040', '3125', '3145', '3018', '3054', '3193', '3141', '3082', '3162', '3050', '3152', '3034']",['3125' '3152' '3154' '3171']
tgm004_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3171', '3153', '3154', '3040', '3125', '3145', '3018', '3054', '3193', '3141', '3082', '3162', '3050', '3152', '3034']",['3125' '3152' '3154' '3171']
tgm005_preop,"['3152', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3082', '3055', '3125', '3074', '3194', '3085', '3047']","['3116', '3152', '3082', '3171', '3154', '3066', '3109', '3153', '3193', '3125', '3144', '3141', '3087', '3133', '3145']",['3082' '3125' '3152' '3154' '3171']
tgm006_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3066']","['3171', '3131', '3154', '3054', '3125', '3153', '3193', '3040', '3141', '3018', '3162', '3085', '3089', '3087', '3144']",['3085' '3125' '3154' '3171']
tgm008_preop,"['3030', '3181', '3171', '3154', '3121', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3171', '3154', '3125', '3166', '3153', '3054', '3040', '3066', '3082', '3193', '3050', '3162', '3152', '3141']",['3030' '3125' '3152' '3154' '3171']
tgm009_preop,"['3194', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3074', '3085', '3047', '3009']","['3153', '3040', '3171', '3071', '3145', '3154', '3018', '3141', '3148', '3089', '3054', '3084', '3129', '3080', '3066']",['3154' '3171']
tgm010_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3188', '3074']","['3145', '3153', '3187', '3171', '3080', '3193', '3089', '3006', '3125', '3154', '3162', '3141', '3071', '3028', '3008']",['3006' '3125' '3154' '3171']
tgm011_preop,"['3087', '3152', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3055', '3125', '3194', '3085', '3047', '3074']","['3087', '3116', '3152', '3109', '3171', '3094', '3154', '3096', '3153', '3105', '3018', '3144', '3150', '3119', '3036']",['3087' '3152' '3154' '3171']
tgm013_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3171', '3154', '3153', '3040', '3145', '3125', '3018', '3054', '3193', '3141', '3082', '3152', '3034', '3050', '3162']",['3125' '3152' '3154' '3171']
tgm014_preop,"['3192', '3047', '3162', '3030', '3181', '3171', '3154', '3121', '3006', '3057', '3152', '3055', '3125', '3009', '3194']","['3162', '3011', '3192', '3171', '3154', '3125', '3153', '3142', '3193', '3047', '3157', '3027', '3082', '3040', '3141']",['3047' '3125' '3154' '3162' '3171' '3192']
tgm015_preop,"['3152', '3181', '3171', '3074', '3154', '3082', '3121', '3030', '3006', '3057', '3055', '3125', '3087', '3194', '3085']","['3131', '3096', '3109', '3116', '3171', '3154', '3018', '3125', '3153', '3080', '3040', '3193', '3141', '3008', '3145']",['3125' '3154' '3171']
tgm016_preop,"['3140', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074']","['3140', '3147', '3159', '3186', '3171', '3154', '3143', '3007', '3153', '3168', '3162', '3026', '3052', '3145', '3020']",['3140' '3154' '3171']
tgm017_preop,"['3144', '3152', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3055', '3125', '3194', '3085', '3047', '3074']","['3144', '3073', '3090', '3154', '3152', '3116', '3171', '3040', '3145', '3153', '3110', '3162', '3141', '3192', '3045']",['3144' '3152' '3154' '3171']
tgm018_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3171', '3154', '3125', '3153', '3040', '3034', '3018', '3054', '3193', '3066', '3141', '3145', '3082', '3119', '3050']",['3125' '3154' '3171']
tgm019_preop,"['3140', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3047', '3152', '3060', '3055', '3125', '3194', '3085']","['3140', '3086', '3045', '3171', '3026', '3154', '3125', '3040', '3054', '3153', '3145', '3142', '3162', '3018', '3066']",['3125' '3140' '3154' '3171']
tgm021_preop,"['3057', '3181', '3171', '3154', '3188', '3121', '3030', '3006', '3152', '3055', '3125', '3194', '3085', '3047', '3074']","['3057', '3133', '3114', '3154', '3171', '3123', '3149', '3145', '3082', '3054', '3040', '3162', '3119', '3153', '3148']",['3057' '3154' '3171']
tgm022_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3171', '3153', '3154', '3141', '3125', '3031', '3054', '3040', '3018', '3145', '3152', '3050', '3193', '3162', '3034']",['3125' '3152' '3154' '3171']
tgm023_preop,"['3181', '3171', '3154', '3152', '3121', '3030', '3006', '3057', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3152', '3171', '3154', '3153', '3054', '3087', '3145', '3193', '3125', '3040', '3141', '3139', '3018', '3148', '3140']",['3125' '3152' '3154' '3171']
tgm024_preop,"['3057', '3181', '3171', '3154', '3121', '3030', '3006', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3171', '3154', '3034', '3153', '3018', '3145', '3125', '3040', '3008', '3193', '3162', '3054', '3084', '3148', '3050']",['3125' '3154' '3171']
tgm025_preop,"['3057', '3181', '3171', '3154', '3121', '3030', '3006', '3009', '3152', '3055', '3125', '3188', '3194', '3047', '3085']","['3009', '3171', '3153', '3154', '3071', '3193', '3018', '3040', '3141', '3145', '3054', '3188', '3006', '3125', '3162']",['3006' '3009' '3125' '3154' '3171' '3188']
tgm026_preop,"['3009', '3030', '3181', '3171', '3154', '3121', '3006', '3057', '3152', '3055', '3125', '3047', '3194', '3085', '3074']","['3009', '3142', '3041', '3171', '3030', '3195', '3153', '3020', '3018', '3082', '3154', '3133', '3040', '3145', '3141']",['3009' '3030' '3154' '3171']
tgm027_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3129', '3171', '3141', '3193', '3154', '3153', '3145', '3111', '3076', '3125', '3006', '3054', '3085', '3018', '3186']",['3006' '3085' '3125' '3154' '3171']
tgm028_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3145', '3171', '3040', '3099', '3192', '3153', '3154', '3193', '3125', '3162', '3008', '3035', '3018', '3042', '3034']",['3125' '3154' '3171']
tgm029_preop,"['3181', '3171', '3154', '3030', '3121', '3006', '3057', '3152', '3055', '3125', '3194', '3074', '3085', '3047', '3034']","['3034', '3119', '3171', '3109', '3154', '3018', '3145', '3125', '3114', '3153', '3040', '3096', '3141', '3054', '3149']",['3034' '3125' '3154' '3171']
