tumor,gt_top,encoded_top,intersection
tgm001_preop,"['5509', '4608', '4782', '5751', '5039', '5684', '5406', '5904', '4876', '5133', '4126', '4988', '5431', '4357', '5505']","['5509', '5133', '4718', '4608', '5684', '5956', '4742', '5888', '5044', '4782', '5751', '4823', '5694', '5992', '5431']",['4608' '4782' '5133' '5431' '5509' '5684' '5751']
tgm002_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535', '5337']","['5714', '4996', '5677', '4225', '5871', '4840', '5354', '5791', '4839', '5815', '4553', '4126', '5730', '4397', '5767']",['4126' '4996' '5677' '5815']
tgm003_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535', '5337']","['5714', '4996', '5677', '4225', '5871', '4840', '5354', '5791', '4839', '5815', '4553', '4126', '5730', '4397', '5767']",['4126' '4996' '5677' '5815']
tgm004_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535', '5337']","['5714', '4996', '5677', '4225', '5871', '4840', '5354', '5791', '4839', '5815', '4553', '4126', '5730', '4397', '5767']",['4126' '4996' '5677' '5815']
tgm005_preop,"['4134', '5105', '4476', '4789', '4668', '5100', '4373', '4609', '4996', '5677', '5450', '5904', '5383', '4087', '4702']","['5105', '4709', '4984', '5955', '4789', '5714', '4996', '4888', '4225', '4476', '5767', '4515', '4704', '5431', '5003']",['4476' '4789' '4996' '5105']
tgm006_preop,"['4137', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535']","['5574', '5358', '4230', '4632', '4137', '4527', '4956', '5713', '5714', '4488', '4225', '4659', '4056', '5677', '4840']",['4137' '5677']
tgm008_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4902', '4535']","['5355', '5249', '5245', '5788', '4563', '4877', '5677', '5395', '5934', '4996', '5948', '5998', '5714', '4840', '5871']",['4996' '5677']
tgm009_preop,"['4999', '4772', '4668', '4373', '4996', '5677', '5450', '5904', '4202', '5383', '4087', '4702', '5815', '5715', '4082']","['4999', '4772', '5575', '5731', '5714', '4840', '4016', '4225', '4250', '4996', '5545', '5650', '5677', '4839', '4137']",['4772' '4996' '4999' '5677']
tgm010_preop,"['5745', '5322', '4087', '5081', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4702', '5815', '4082', '5778']","['4406', '5926', '5745', '4330', '5472', '5322', '5714', '5190', '4840', '4225', '5677', '5888', '5081', '4996', '4305']",['4996' '5081' '5322' '5677' '5745']
tgm011_preop,"['4668', '5686', '5383', '4476', '4134', '5422', '4373', '4996', '5677', '5408', '5450', '5904', '4087', '4702', '5815']","['5686', '4668', '4709', '5408', '4201', '4448', '5003', '5955', '4040', '5230', '4814', '4888', '5287', '5449', '4045']",['4668' '5408' '5686']
