tumor,gt_top,encoded_top,intersection
tgm001_preop,"['3073', '3184', '3090', '3144', '3186', '3179', '3132', '3004', '3015', '3062', '3048', '3052', '3143', '3100', '3182']","['3073', '3144', '3184', '3048', '3090', '3062', '3152', '3159', '3121', '3030', '3186', '3015', '3009', '3020', '3100']",['3015' '3048' '3062' '3073' '3090' '3100' '3144' '3184' '3186']
tgm002_preop,"['3057', '3133', '3069', '3031', '3188', '3028', '3043', '3067', '3167', '3064', '3128', '3038', '3120', '3049', '3013']","['3057', '3188', '3031', '3133', '3069', '3030', '3014', '3154', '3121', '3020', '3125', '3128', '3088', '3089', '3193']",['3031' '3057' '3069' '3128' '3133' '3188']
tgm003_preop,"['3162', '3011', '3018', '3027', '3003', '3089', '3023', '3065', '3166', '3093', '3060', '3185', '3041', '3180', '3198']","['3030', '3154', '3162', '3011', '3121', '3006', '3125', '3194', '3018', '3055', '3020', '3089', '3071', '3060', '3111']",['3011' '3018' '3060' '3089' '3162']
tgm004_preop,"['3162', '3018', '3011', '3027', '3003', '3023', '3075', '3065', '3007', '3124', '3180', '3198', '3093', '3098', '3010']","['3030', '3154', '3121', '3020', '3018', '3125', '3006', '3088', '3055', '3194', '3193', '3162', '3071', '3111', '3060']",['3018' '3162']
tgm005_preop,"['3131', '3116', '3082', '3151', '3109', '3096', '3105', '3174', '3123', '3152', '3094', '3087', '3114', '3169', '3090']","['3131', '3116', '3082', '3151', '3152', '3109', '3105', '3113', '3030', '3074', '3096', '3071', '3087', '3174', '3154']",['3082' '3087' '3096' '3105' '3109' '3116' '3131' '3151' '3152' '3174']
tgm006_preop,"['3066', '3131', '3071', '3083', '3186', '3116', '3007', '3151', '3090', '3109', '3096', '3105', '3082', '3174', '3097']","['3030', '3154', '3066', '3071', '3055', '3020', '3060', '3089', '3009', '3131', '3125', '3088', '3171', '3116', '3006']",['3066' '3071' '3116' '3131']
tgm008_preop,"['3162', '3011', '3192', '3030', '3027', '3003', '3009', '3023', '3047', '3166', '3065', '3041', '3104', '3093', '3142']","['3030', '3162', '3011', '3192', '3009', '3154', '3121', '3027', '3125', '3071', '3055', '3194', '3088', '3111', '3171']",['3009' '3011' '3027' '3030' '3162' '3192']
tgm009_preop,"['3194', '3074', '3113', '3071', '3083', '3131', '3082', '3151', '3163', '3146', '3174', '3169', '3005', '3096', '3109']","['3030', '3194', '3071', '3154', '3113', '3074', '3020', '3009', '3121', '3089', '3060', '3055', '3006', '3125', '3111']",['3071' '3074' '3113' '3194']
tgm010_preop,"['3190', '3145', '3067', '3031', '3128', '3028', '3069', '3053', '3043', '3122', '3120', '3187', '3032', '3188', '3167']","['3030', '3145', '3190', '3154', '3031', '3050', '3121', '3020', '3188', '3055', '3071', '3111', '3067', '3128', '3089']",['3031' '3067' '3128' '3145' '3188' '3190']
tgm011_preop,"['3087', '3152', '3116', '3109', '3105', '3131', '3151', '3019', '3094', '3122', '3096', '3082', '3150', '3132', '3050']","['3087', '3152', '3116', '3030', '3154', '3121', '3020', '3109', '3125', '3089', '3088', '3105', '3060', '3055', '3006']",['3087' '3105' '3109' '3116' '3152']
tgm013_preop,"['3009', '3006', '3199', '3195', '3092', '3166', '3013', '3041', '3003', '3128', '3030', '3023', '3104', '3065', '3064']","['3030', '3154', '3009', '3121', '3020', '3125', '3089', '3088', '3060', '3006', '3071', '3055', '3193', '3171', '3161']",['3006' '3009' '3030']
tgm014_preop,"['3162', '3011', '3192', '3047', '3142', '3027', '3187', '3023', '3065', '3003', '3104', '3086', '3093', '3045', '3035']","['3030', '3011', '3162', '3192', '3187', '3009', '3154', '3121', '3125', '3047', '3171', '3055', '3194', '3152', '3020']",['3011' '3047' '3162' '3187' '3192']
tgm015_preop,"['3131', '3116', '3109', '3151', '3082', '3096', '3174', '3105', '3094', '3087', '3123', '3169', '3032', '3114', '3019']","['3131', '3116', '3109', '3082', '3151', '3096', '3174', '3087', '3105', '3094', '3030', '3152', '3169', '3034', '3074']","['3082' '3087' '3094' '3096' '3105' '3109' '3116' '3131' '3151' '3169'
 '3174']"
tgm016_preop,"['3140', '3159', '3147', '3143', '3073', '3004', '3184', '3026', '3086', '3136', '3007', '3168', '3062', '3101', '3029']","['3140', '3159', '3030', '3147', '3060', '3121', '3125', '3006', '3009', '3020', '3171', '3154', '3071', '3089', '3143']",['3140' '3143' '3147' '3159']
tgm017_preop,"['3144', '3073', '3090', '3184', '3048', '3186', '3132', '3101', '3062', '3179', '3004', '3150', '3052', '3015', '3159']","['3144', '3073', '3090', '3154', '3152', '3030', '3048', '3121', '3184', '3020', '3062', '3009', '3125', '3018', '3006']",['3048' '3062' '3073' '3090' '3144' '3184']
tgm018_preop,"['3057', '3014', '3036', '3013', '3069', '3038', '3028', '3043', '3167', '3049', '3031', '3195', '3120', '3064', '3092']","['3030', '3154', '3014', '3121', '3020', '3057', '3055', '3088', '3194', '3125', '3089', '3060', '3171', '3193', '3161']",['3014' '3057']
tgm019_preop,"['3086', '3140', '3045', '3172', '3046', '3029', '3157', '3168', '3156', '3035', '3127', '3126', '3001', '3011', '3004']","['3140', '3086', '3060', '3030', '3192', '3011', '3045', '3147', '3047', '3020', '3125', '3121', '3006', '3046', '3171']",['3011' '3045' '3046' '3086' '3140']
tgm021_preop,"['3069', '3133', '3057', '3028', '3031', '3120', '3043', '3067', '3014', '3190', '3051', '3002', '3032', '3167', '3128']","['3057', '3014', '3030', '3133', '3031', '3154', '3069', '3020', '3121', '3028', '3193', '3094', '3194', '3161', '3050']",['3014' '3028' '3031' '3057' '3069' '3133']
tgm022_preop,"['3099', '3188', '3053', '3031', '3133', '3107', '3069', '3190', '3067', '3128', '3057', '3040', '3092', '3028', '3199']","['3030', '3188', '3099', '3154', '3121', '3020', '3107', '3053', '3031', '3125', '3060', '3089', '3055', '3009', '3193']",['3031' '3053' '3099' '3107' '3188']
