tumor,gt_top,encoded_top,intersection
tgm001_preop,"['15140', '12592', '19285', '24648', '16619', '9478', '10662', '22078', '26304', '26267', '22123', '23837', '26291', '10216', '12619']","['18813', '19065', '21869', '20441', '25534', '24520', '10876', '12624', '22146', '18392', '17645', '8995', '24741', '9939', '24836']",[]
tgm002_preop,"['8512', '16354', '24483', '26688', '15111', '8274', '17972', '14800', '17367', '11618', '14441', '24566', '18378', '21513', '12982']","['26858', '23100', '24090', '17852', '21951', '22829', '12551', '15044', '24436', '10634', '21241', '21286', '18968', '21077', '18154']",[]
tgm003_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['11590', '19018', '24773', '27523', '14175', '10855', '20932', '10005', '9941', '17027', '21200', '27520', '18967', '20063', '16958']",[]
tgm004_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['11590', '25721', '17027', '12584', '18767', '20058', '27520', '11611', '22170', '17255', '9300', '20063', '21591', '10855', '8576']",[]
tgm005_preop,"['16428', '22724', '14527', '19930', '8218', '22226', '21711', '14543', '21898', '21862', '23737', '9903', '13762', '10323', '16537']","['14543', '13769', '13404', '9977', '22226', '24399', '21357', '26653', '8372', '15552', '13095', '13242', '21923', '23685', '22724']",['14543' '22226' '22724']
tgm006_preop,"['8531', '20941', '17098', '17022', '23778', '22357', '21918', '15993', '11124', '8969', '14107', '15932', '8291', '14510', '8822']","['20941', '17098', '8531', '21918', '8822', '23778', '17022', '25479', '18490', '22357', '21372', '12955', '16008', '13328', '11124']",['11124' '17022' '17098' '20941' '21918' '22357' '23778' '8531' '8822']
tgm008_preop,"['20932', '24992', '9273', '12606', '10889', '22314', '24725', '8694', '26384', '24040', '27523', '11256', '25174', '24959', '17096']","['26985', '8694', '23551', '12222', '27951', '11853', '11718', '10955', '24244', '19185', '24959', '12366', '16280', '9163', '16958']",['24959' '8694']
tgm009_preop,"['17228', '9768', '20671', '10416', '26122', '27960', '25899', '20046', '15503', '27967', '27123', '23888', '18866', '22542', '11334']","['9768', '20046', '20671', '9693', '17228', '24548', '26122', '15503', '10416', '24019', '8643', '11611', '27123', '10043', '13437']",['10416' '15503' '17228' '20046' '20671' '26122' '27123' '9768']
tgm010_preop,"['12948', '16028', '12426', '27066', '25769', '16840', '19359', '8140', '15673', '22952', '10179', '26482', '12102', '22709', '17711']","['12948', '8140', '22709', '16840', '15756', '16028', '14391', '12426', '12102', '18787', '16789', '22952', '23673', '9310', '18567']",['12102' '12426' '12948' '16028' '16840' '22709' '22952' '8140']
tgm011_preop,"['27715', '19232', '17681', '19582', '10711', '8496', '9861', '11579', '16477', '13210', '18038', '14513', '17218', '23796', '24555']","['10711', '11579', '27715', '19232', '14513', '9861', '18152', '18038', '13320', '24555', '8496', '27612', '9393', '19582', '16477']","['10711' '11579' '14513' '16477' '18038' '19232' '19582' '24555' '27715'
 '8496' '9861']"
tgm013_preop,"['8881', '20968', '10106', '21593', '21302', '27172', '19127', '27391', '24134', '18607', '18815', '25525', '23878', '16161', '24633']","['11611', '13437', '17565', '23568', '16127', '12584', '14721', '18217', '10770', '13148', '17274', '18767', '21169', '15718', '25397']",[]
tgm014_preop,"['26797', '20461', '12366', '13894', '13842', '21994', '11718', '16280', '24244', '18263', '13460', '22265', '15639', '25946', '18465']","['20461', '26797', '12366', '13791', '16280', '25911', '13798', '18465', '17609', '22292', '13842', '16163', '24725', '19230', '26623']",['12366' '13842' '16280' '18465' '20461' '26797']
tgm015_preop,"['9840', '8556', '25244', '12647', '13008', '20192', '25479', '19494', '12533', '15552', '9903', '11124', '13126', '15922', '11846']","['10972', '13739', '15183', '20112', '22724', '9461', '24399', '12881', '23041', '21357', '18033', '13069', '16510', '24709', '13334']",[]
tgm016_preop,"['22183', '27126', '8144', '21817', '15944', '27366', '12856', '23429', '15341', '14310', '27562', '25182', '25445', '23055', '17942']","['19939', '27126', '14310', '13604', '27807', '12856', '25268', '22183', '19338', '27366', '27562', '21393', '23055', '8144', '13085']",['12856' '14310' '22183' '23055' '27126' '27366' '27562' '8144']
tgm017_preop,"['20987', '17725', '16345', '13546', '24580', '24415', '15577', '16457', '22908', '14851', '22604', '19294', '21770', '17421', '25774']","['14365', '18569', '21770', '16634', '24267', '22604', '12624', '17421', '19294', '22710', '21518', '18948', '17198', '22146', '14262']",['17421' '19294' '21770' '22604']
tgm018_preop,"['13172', '26371', '12184', '19377', '20869', '10747', '12277', '25496', '20806', '27409', '10496', '10783', '23047', '23881', '22087']","['20806', '14434', '16965', '20816', '20869', '23852', '8041', '24670', '26371', '23881', '10701', '27409', '9875', '12184', '10202']",['12184' '20806' '20869' '23881' '26371' '27409']
tgm019_preop,"['11055', '21009', '15088', '23550', '26370', '11073', '9233', '11203', '16151', '26809', '27445', '22478', '27985', '11300', '24779']","['27985', '27807', '13604', '9233', '26352', '11055', '16151', '19338', '21045', '25624', '15088', '18584', '11203', '18406', '27366']",['11055' '11203' '15088' '16151' '27985' '9233']
tgm021_preop,"['21241', '21951', '18051', '16918', '15044', '22251', '11103', '22324', '12551', '16765', '10140', '18826', '21017', '20092', '18364']","['20903', '21087', '26858', '17565', '20806', '24186', '24973', '13895', '20816', '11167', '20092', '15528', '23100', '10740', '17852']",['20092']
tgm022_preop,"['11618', '26688', '12354', '14441', '24878', '25806', '13699', '11892', '14860', '17367', '26203', '20578', '25998', '20101', '25088']","['14860', '23821', '8230', '27836', '16837', '24682', '13699', '13053', '24209', '23353', '24788', '24878', '27155', '27002', '21641']",['13699' '14860' '24878']
tgm023_preop,"['22190', '11506', '24555', '26380', '15670', '18038', '9115', '24409', '22320', '23191', '16408', '12501', '10323', '16477', '9861']","['9115', '15670', '11506', '24555', '23796', '16477', '9861', '18038', '21477', '12501', '23191', '16332', '10711', '25881', '18152']",['11506' '12501' '15670' '16477' '18038' '23191' '24555' '9115' '9861']
tgm024_preop,"['26371', '20869', '23881', '27629', '10883', '21285', '12184', '11484', '15787', '23852', '20816', '27409', '9875', '25067', '8083']","['8083', '20869', '8041', '8856', '20816', '26371', '12184', '20806', '27629', '21440', '8839', '20435', '12095', '18590', '14434']",['12184' '20816' '20869' '26371' '27629' '8083']
tgm025_preop,"['16506', '25105', '14910', '24928', '15906', '26100', '26623', '15303', '21994', '16365', '26797', '20461', '9282', '20281', '11718']","['18882', '18364', '16506', '14910', '26100', '25105', '26623', '21241', '15906', '19573', '17214', '20461', '24436', '15044', '23920']",['14910' '15906' '16506' '20461' '25105' '26100' '26623']
tgm026_preop,"['16894', '18815', '23920', '26100', '27172', '22860', '15187', '18913', '16077', '24416', '13832', '13187', '16506', '21470', '26389']","['16077', '23920', '26100', '12656', '13013', '17429', '8092', '15906', '13187', '14910', '8694', '18231', '19984', '20281', '10955']",['13187' '16077' '23920' '26100']
tgm027_preop,"['11177', '19974', '16691', '26109', '17729', '9124', '24419', '23960', '24083', '9200', '18140', '24714', '13705', '14774', '9730']","['15777', '24488', '23354', '24741', '21869', '17155', '15504', '24520', '9327', '14117', '21732', '18852', '27246', '18468', '23741']",[]
tgm028_preop,"['18108', '20354', '13551', '17180', '21181', '23266', '17817', '15947', '25278', '11789', '17718', '16621', '23922', '14491', '15860']","['24553', '12961', '18676', '15860', '23170', '11789', '25851', '13941', '10941', '15947', '11550', '11030', '25181', '14446', '14997']",['11789' '15860' '15947']
tgm029_preop,"['11472', '12969', '21614', '13206', '9209', '19247', '20096', '14191', '11151', '24516', '26713', '19282', '20930', '15411', '26844']","['12969', '21614', '26713', '16631', '11472', '15411', '18144', '19247', '9209', '14191', '10308', '26844', '22094', '16816', '20930']","['11472' '12969' '14191' '15411' '19247' '20930' '21614' '26713' '26844'
 '9209']"
tgm030_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['11611', '23568', '13437', '21169', '17565', '15718', '24533', '10770', '25397', '12824', '18217', '11342', '13148', '26994', '12584']",[]
tgm031_preop,"['16457', '24415', '17725', '9860', '14064', '24580', '12529', '19909', '13682', '10836', '21428', '26640', '13546', '14851', '22908']","['11997', '17645', '19488', '24520', '20021', '8995', '20963', '22710', '20540', '15886', '27474', '23463', '20336', '18731', '22146']",[]
tgm033_preop,"['10776', '20874', '16927', '14309', '24423', '14812', '17349', '12143', '21073', '22555', '23121', '22504', '16239', '16753', '9911']","['16239', '10776', '12143', '17795', '17349', '16927', '14309', '19661', '24423', '16753', '19533', '17061', '12777', '14907', '10984']",['10776' '12143' '14309' '16239' '16753' '16927' '17349' '24423']
tgm034_preop,"['18882', '20299', '18364', '24436', '17214', '15303', '14241', '26594', '26482', '13634', '18201', '18968', '21359', '20816', '8059']","['26594', '18201', '21359', '24436', '25826', '27155', '16736', '24209', '26759', '26482', '23127', '10417', '8059', '26378', '14241']",['14241' '18201' '21359' '24436' '26482' '26594' '8059']
tgm035_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['10842', '24164', '18440', '10896', '18256', '13378', '18097', '9753', '8129', '17609', '24928', '13717', '18522', '27493', '22238']",[]
