tumor,gt_top,encoded_top,intersection
tgm001_preop,"['5509', '4608', '4782', '5751', '5039', '5684', '5406', '5904', '4876', '5133', '4126', '4988', '5431', '4357', '5505']","['4939', '4232', '5059', '5448', '4718', '4892', '5856', '5628', '5684', '5687', '5992', '5044', '4850', '5764', '4312']",['5684']
tgm002_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535', '5337']","['5412', '5371', '4567', '4828', '5920', '5797', '4658', '5464', '5771', '4128', '5528', '4875', '5851', '5292', '4099']",[]
tgm003_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535', '5337']","['4548', '5845', '5233', '5219', '5771', '5553', '5249', '5245', '4128', '4282', '5355', '4796', '4676', '5702', '4057']",[]
tgm004_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535', '5337']","['4548', '5771', '4128', '5845', '4676', '4082', '5450', '5233', '4663', '5998', '4057', '5969', '5385', '5243', '5245']",['4082' '5450']
tgm005_preop,"['4134', '5105', '4476', '4789', '4668', '5100', '4373', '4609', '4996', '5677', '5450', '5904', '5383', '4087', '4702']","['5105', '4984', '4507', '4056', '5230', '4230', '4814', '4609', '5955', '4412', '4709', '5449', '4657', '4527', '4515']",['4609' '5105']
tgm006_preop,"['4137', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535']","['5358', '5574', '4663', '5771', '4609', '5449', '4230', '4676', '5713', '4049', '4128', '5385', '4137', '4632', '4056']",['4137']
tgm008_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4902', '4535']","['4563', '5233', '4796', '5845', '4548', '5249', '5355', '5488', '5245', '5395', '5219', '4352', '4653', '5771', '4166']",[]
tgm009_preop,"['4999', '4772', '4668', '4373', '4996', '5677', '5450', '5904', '4202', '5383', '4087', '4702', '5815', '5715', '4082']","['4772', '4999', '5715', '4202', '5575', '4285', '5771', '4663', '4128', '5731', '4057', '4676', '4118', '5385', '5245']",['4202' '4772' '4999' '5715']
tgm010_preop,"['5745', '5322', '4087', '5081', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4702', '5815', '4082', '5778']","['5778', '5745', '5926', '5081', '4406', '5190', '5442', '5472', '5322', '5771', '4676', '4269', '4708', '5722', '4128']",['5081' '5322' '5745' '5778']
tgm011_preop,"['4668', '5686', '5383', '4476', '4134', '5422', '4373', '4996', '5677', '5408', '5450', '5904', '4087', '4702', '5815']","['4668', '5003', '5686', '4709', '4888', '4448', '5742', '5408', '5449', '5230', '5422', '5771', '4704', '4201', '4040']",['4668' '5408' '5422' '5686']
