tumor,gt_top,encoded_top,intersection
tgm001_preop,"['3048', '3073', '3144', '3159', '3080', '3062', '3184', '3143', '3132', '3101', '3136', '3147', '3150', '3052', '3026']","['3048', '3144', '3073', '3154', '3030', '3159', '3080', '3181', '3153', '3055', '3084', '3087', '3125', '3193', '3060']",['3048' '3073' '3080' '3144' '3159']
tgm002_preop,"['3188', '3092', '3031', '3069', '3128', '3028', '3173', '3195', '3167', '3013', '3107', '3023', '3118', '3043', '3025']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3084', '3087', '3121', '3009', '3055', '3088', '3071']",[]
tgm003_preop,"['3000', '3001', '3002', '3003', '3004', '3005', '3006', '3007', '3008', '3009', '3010', '3011', '3012', '3013', '3014']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3084', '3087', '3121', '3055', '3009', '3088', '3071']",['3009']
tgm004_preop,"['3000', '3001', '3002', '3003', '3004', '3005', '3006', '3007', '3008', '3009', '3010', '3011', '3012', '3013', '3014']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3084', '3087', '3121', '3055', '3009', '3088', '3071']",['3009']
tgm005_preop,"['3082', '3116', '3152', '3131', '3109', '3096', '3114', '3087', '3151', '3174', '3113', '3105', '3169', '3081', '3077']","['3152', '3116', '3030', '3154', '3125', '3153', '3087', '3171', '3060', '3181', '3082', '3193', '3109', '3018', '3009']",['3082' '3087' '3109' '3116' '3152']
tgm006_preop,"['3066', '3090', '3131', '3186', '3096', '3174', '3151', '3100', '3169', '3007', '3097', '3114', '3109', '3179', '3071']","['3030', '3154', '3153', '3060', '3125', '3181', '3171', '3009', '3193', '3084', '3131', '3099', '3053', '3055', '3194']",['3131']
tgm008_preop,"['3030', '3162', '3011', '3192', '3027', '3003', '3166', '3093', '3088', '3023', '3185', '3041', '3065', '3157', '3103']","['3030', '3154', '3125', '3060', '3153', '3181', '3027', '3162', '3171', '3087', '3006', '3071', '3084', '3055', '3053']",['3027' '3030' '3162']
tgm009_preop,"['3194', '3074', '3113', '3174', '3071', '3163', '3131', '3169', '3146', '3151', '3044', '3005', '3096', '3058', '3130']","['3194', '3030', '3154', '3060', '3181', '3153', '3087', '3125', '3193', '3071', '3171', '3113', '3055', '3085', '3009']",['3071' '3113' '3194']
tgm010_preop,"['3187', '3145', '3067', '3190', '3028', '3031', '3188', '3053', '3128', '3069', '3043', '3025', '3167', '3120', '3122']","['3030', '3060', '3154', '3125', '3153', '3181', '3171', '3121', '3193', '3006', '3084', '3088', '3057', '3085', '3053']",['3053']
tgm011_preop,"['3087', '3116', '3152', '3094', '3123', '3105', '3109', '3096', '3019', '3114', '3122', '3131', '3151', '3150', '3050']","['3087', '3116', '3152', '3154', '3030', '3171', '3060', '3153', '3181', '3125', '3131', '3053', '3193', '3084', '3094']",['3087' '3094' '3116' '3131' '3152']
tgm013_preop,"['3009', '3092', '3195', '3093', '3041', '3166', '3199', '3013', '3023', '3104', '3064', '3118', '3038', '3065', '3103']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3084', '3087', '3121', '3009', '3055', '3088', '3071']",['3009']
tgm014_preop,"['3162', '3011', '3192', '3047', '3027', '3093', '3003', '3142', '3065', '3023', '3187', '3104', '3086', '3185', '3157']","['3011', '3162', '3192', '3030', '3154', '3047', '3125', '3153', '3088', '3009', '3193', '3084', '3171', '3181', '3053']",['3011' '3047' '3162' '3192']
tgm015_preop,"['3131', '3116', '3109', '3096', '3114', '3174', '3151', '3105', '3082', '3169', '3179', '3032', '3094', '3015', '3090']","['3131', '3116', '3109', '3096', '3154', '3030', '3174', '3171', '3060', '3153', '3082', '3181', '3193', '3084', '3125']",['3082' '3096' '3109' '3116' '3131' '3174']
tgm016_preop,"['3140', '3159', '3007', '3147', '3143', '3186', '3184', '3073', '3090', '3052', '3026', '3150', '3004', '3136', '3182']","['3140', '3030', '3159', '3147', '3060', '3186', '3154', '3181', '3153', '3007', '3171', '3125', '3087', '3193', '3089']",['3007' '3140' '3147' '3159' '3186']
tgm017_preop,"['3144', '3073', '3090', '3186', '3048', '3184', '3159', '3132', '3150', '3052', '3179', '3143', '3100', '3062', '3007']","['3144', '3073', '3030', '3154', '3090', '3125', '3060', '3153', '3055', '3171', '3181', '3009', '3121', '3186', '3194']",['3073' '3090' '3144' '3186']
tgm018_preop,"['3036', '3049', '3158', '3195', '3167', '3013', '3118', '3043', '3064', '3120', '3038', '3191', '3134', '3117', '3103']","['3030', '3154', '3060', '3125', '3181', '3153', '3087', '3171', '3193', '3121', '3084', '3055', '3088', '3113', '3099']",[]
tgm019_preop,"['3086', '3140', '3045', '3172', '3168', '3156', '3035', '3046', '3170', '3157', '3001', '3029', '3126', '3004', '3026']","['3140', '3086', '3030', '3060', '3045', '3154', '3147', '3181', '3172', '3084', '3125', '3153', '3171', '3099', '3089']",['3045' '3086' '3140' '3172']
tgm021_preop,"['3057', '3133', '3188', '3069', '3031', '3002', '3051', '3149', '3028', '3120', '3119', '3049', '3167', '3043', '3019']","['3057', '3154', '3030', '3125', '3133', '3171', '3181', '3152', '3009', '3069', '3113', '3131', '3088', '3149', '3085']",['3057' '3069' '3133' '3149']
tgm022_preop,"['3188', '3107', '3031', '3199', '3128', '3092', '3067', '3069', '3028', '3040', '3167', '3118', '3043', '3025', '3142']","['3030', '3154', '3060', '3125', '3181', '3153', '3171', '3193', '3087', '3121', '3084', '3009', '3071', '3107', '3055']",['3107']
tgm023_preop,"['3152', '3087', '3116', '3131', '3105', '3109', '3094', '3096', '3123', '3114', '3151', '3122', '3052', '3032', '3090']","['3030', '3154', '3152', '3087', '3125', '3060', '3181', '3153', '3171', '3193', '3084', '3055', '3057', '3121', '3071']",['3087' '3152']
tgm024_preop,"['3057', '3167', '3173', '3195', '3031', '3028', '3013', '3118', '3043', '3049', '3038', '3120', '3191', '3064', '3025']","['3030', '3154', '3060', '3125', '3057', '3153', '3181', '3193', '3087', '3084', '3113', '3171', '3006', '3071', '3055']",['3057']
tgm025_preop,"['3009', '3188', '3057', '3162', '3011', '3173', '3031', '3093', '3167', '3192', '3195', '3128', '3023', '3028', '3187']","['3030', '3057', '3009', '3154', '3060', '3125', '3181', '3171', '3188', '3193', '3153', '3087', '3084', '3121', '3071']",['3009' '3057' '3188']
tgm026_preop,"['3009', '3162', '3030', '3011', '3192', '3093', '3003', '3041', '3195', '3023', '3185', '3104', '3142', '3065', '3103']","['3009', '3030', '3154', '3125', '3181', '3153', '3084', '3060', '3055', '3171', '3193', '3057', '3142', '3121', '3085']",['3009' '3030' '3142']
tgm027_preop,"['3147', '3159', '3129', '3186', '3062', '3140', '3007', '3184', '3110', '3124', '3143', '3073', '3048', '3100', '3179']","['3030', '3154', '3171', '3125', '3159', '3181', '3153', '3147', '3009', '3084', '3060', '3018', '3071', '3057', '3053']",['3147' '3159']
tgm028_preop,"['3145', '3136', '3122', '3148', '3190', '3035', '3142', '3024', '3001', '3170', '3025', '3127', '3050', '3052', '3029']","['3030', '3145', '3154', '3181', '3153', '3125', '3060', '3084', '3171', '3009', '3087', '3057', '3090', '3193', '3088']",['3145']
tgm029_preop,"['3034', '3119', '3149', '3109', '3113', '3051', '3019', '3082', '3096', '3002', '3151', '3174', '3114', '3032', '3131']","['3034', '3030', '3119', '3154', '3109', '3060', '3181', '3153', '3125', '3071', '3084', '3121', '3188', '3009', '3171']",['3034' '3109' '3119']
tgm030_preop,"['3000', '3001', '3002', '3003', '3004', '3005', '3006', '3007', '3008', '3009', '3010', '3011', '3012', '3013', '3014']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3084', '3087', '3121', '3055', '3009', '3088', '3071']",['3009']
tgm031_preop,"['3144', '3073', '3159', '3090', '3048', '3186', '3080', '3140', '3132', '3184', '3150', '3136', '3007', '3143', '3052']","['3144', '3073', '3090', '3030', '3140', '3186', '3154', '3159', '3007', '3153', '3055', '3171', '3125', '3087', '3053']",['3007' '3073' '3090' '3140' '3144' '3159' '3186']
tgm033_preop,"['3106', '3074', '3113', '3131', '3109', '3174', '3034', '3173', '3149', '3019', '3096', '3169', '3002', '3163', '3151']","['3030', '3154', '3060', '3125', '3181', '3084', '3153', '3106', '3193', '3113', '3171', '3055', '3131', '3085', '3057']",['3106' '3113' '3131']
tgm034_preop,"['3057', '3188', '3031', '3133', '3028', '3069', '3014', '3167', '3053', '3128', '3067', '3043', '3099', '3118', '3025']","['3057', '3030', '3188', '3154', '3060', '3125', '3181', '3153', '3171', '3084', '3193', '3006', '3071', '3089', '3113']",['3057' '3188']
tgm035_preop,"['3000', '3001', '3002', '3003', '3004', '3005', '3006', '3007', '3008', '3009', '3010', '3011', '3012', '3013', '3014']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3084', '3087', '3121', '3055', '3009', '3088', '3071']",['3009']
tgm036_preop,"['3188', '3031', '3067', '3053', '3190', '3028', '3128', '3069', '3099', '3133', '3167', '3043', '3025', '3120', '3064']","['3188', '3031', '3067', '3030', '3069', '3057', '3053', '3153', '3154', '3060', '3171', '3084', '3125', '3181', '3085']",['3031' '3053' '3067' '3069' '3188']
tgm037_preop,"['3113', '3082', '3109', '3096', '3174', '3131', '3074', '3034', '3119', '3151', '3002', '3149', '3169', '3019', '3114']","['3113', '3109', '3082', '3030', '3034', '3131', '3060', '3181', '3153', '3125', '3154', '3084', '3119', '3096', '3057']",['3034' '3082' '3096' '3109' '3113' '3119' '3131']
tgm038_preop,"['3119', '3133', '3051', '3149', '3019', '3069', '3114', '3053', '3002', '3043', '3120', '3032', '3191', '3081', '3024']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3084', '3087', '3121', '3055', '3009', '3088', '3071']",[]
tgm039_preop,"['3073', '3062', '3184', '3144', '3048', '3129', '3143', '3186', '3100', '3090', '3179', '3026', '3182', '3159', '3147']","['3073', '3062', '3144', '3030', '3129', '3060', '3153', '3181', '3125', '3048', '3193', '3084', '3018', '3089', '3171']",['3048' '3062' '3073' '3129' '3144']
tgm041_preop,"['3030', '3009', '3162', '3192', '3011', '3003', '3093', '3041', '3195', '3166', '3023', '3185', '3104', '3065', '3142']","['3030', '3009', '3154', '3125', '3181', '3153', '3060', '3055', '3084', '3193', '3171', '3121', '3057', '3087', '3085']",['3009' '3030']
tgm042_preop,"['3144', '3073', '3090', '3132', '3150', '3184', '3186', '3136', '3007', '3105', '3101', '3052', '3179', '3080', '3048']","['3090', '3030', '3073', '3144', '3154', '3125', '3153', '3053', '3171', '3099', '3181', '3084', '3060', '3193', '3121']",['3073' '3090' '3144']
tgm044_preop,"['3071', '3131', '3066', '3174', '3169', '3179', '3044', '3100', '3151', '3096', '3090', '3015', '3083', '3097', '3160']","['3071', '3030', '3154', '3131', '3125', '3060', '3171', '3085', '3181', '3153', '3193', '3084', '3053', '3169', '3009']",['3071' '3131' '3169']
tgm045_preop,"['3066', '3071', '3090', '3131', '3100', '3083', '3179', '3186', '3044', '3169', '3174', '3097', '3151', '3015', '3096']","['3066', '3071', '3030', '3154', '3125', '3181', '3084', '3171', '3060', '3153', '3131', '3193', '3159', '3053', '3085']",['3066' '3071' '3131']
tgm046_preop,"['3071', '3174', '3131', '3169', '3151', '3044', '3163', '3096', '3146', '3074', '3113', '3083', '3077', '3097', '3109']","['3071', '3131', '3169', '3174', '3030', '3171', '3181', '3113', '3163', '3154', '3074', '3084', '3060', '3083', '3125']",['3071' '3074' '3083' '3113' '3131' '3163' '3169' '3174']
tgm047_preop,"['3188', '3053', '3133', '3031', '3067', '3057', '3190', '3069', '3099', '3128', '3028', '3167', '3043', '3025', '3118']","['3188', '3053', '3057', '3030', '3154', '3060', '3181', '3171', '3125', '3153', '3133', '3087', '3084', '3071', '3089']",['3053' '3057' '3133' '3188']
tgm048_preop,"['3000', '3001', '3002', '3003', '3004', '3005', '3006', '3007', '3008', '3009', '3010', '3011', '3012', '3013', '3014']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3084', '3087', '3121', '3055', '3009', '3088', '3071']",['3009']
tgm049_preop,"['3140', '3136', '3007', '3150', '3052', '3132', '3187', '3004', '3168', '3170', '3108', '3001', '3080', '3086', '3101']","['3140', '3030', '3154', '3125', '3060', '3193', '3181', '3087', '3084', '3153', '3171', '3113', '3089', '3099', '3121']",['3140']
tgm050_preop,"['3066', '3090', '3186', '3100', '3184', '3179', '3114', '3044', '3182', '3131', '3015', '3189', '3108', '3178', '3151']","['3154', '3030', '3060', '3152', '3181', '3087', '3125', '3153', '3193', '3055', '3171', '3113', '3084', '3121', '3053']",[]
tgm051_preop,"['3014', '3019', '3149', '3051', '3123', '3167', '3119', '3002', '3173', '3028', '3094', '3032', '3106', '3034', '3114']","['3030', '3060', '3154', '3125', '3181', '3153', '3193', '3171', '3055', '3121', '3113', '3071', '3088', '3084', '3092']",[]
tgm052_preop,"['3132', '3050', '3101', '3150', '3080', '3054', '3111', '3136', '3090', '3073', '3105', '3186', '3076', '3141', '3144']","['3154', '3030', '3125', '3050', '3060', '3181', '3153', '3090', '3193', '3171', '3150', '3084', '3113', '3055', '3053']",['3050' '3090' '3150']
tgm053_preop,"['3071', '3160', '3115', '3083', '3135', '3100', '3146', '3066', '3161', '3097', '3179', '3044', '3138', '3169', '3153']","['3071', '3115', '3160', '3030', '3085', '3125', '3060', '3154', '3171', '3084', '3181', '3193', '3083', '3057', '3009']",['3071' '3083' '3115' '3160']
tgm054_preop,"['3066', '3115', '3071', '3160', '3100', '3090', '3179', '3044', '3186', '3182', '3015', '3153', '3184', '3146', '3135']","['3115', '3071', '3030', '3154', '3153', '3125', '3060', '3085', '3193', '3181', '3055', '3171', '3018', '3084', '3066']",['3066' '3071' '3115' '3153']
tgm055_preop,"['3030', '3162', '3011', '3027', '3192', '3003', '3166', '3093', '3041', '3023', '3185', '3088', '3065', '3157', '3103']","['3030', '3154', '3125', '3060', '3153', '3181', '3171', '3087', '3084', '3071', '3055', '3193', '3121', '3006', '3053']",['3030']
tgm056_preop,"['3123', '3019', '3149', '3051', '3094', '3167', '3002', '3173', '3106', '3032', '3119', '3096', '3034', '3114', '3028']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3055', '3092', '3099', '3121', '3088', '3071', '3194']",[]
tgm057_preop,"['3030', '3027', '3162', '3011', '3003', '3166', '3093', '3185', '3023', '3041', '3065', '3157', '3192', '3102', '3088']","['3030', '3154', '3060', '3125', '3181', '3153', '3171', '3087', '3027', '3006', '3071', '3193', '3084', '3053', '3055']",['3027' '3030']
tgm058_preop,"['3115', '3153', '3066', '3160', '3100', '3161', '3179', '3135', '3044', '3186', '3182', '3124', '3015', '3090', '3197']","['3115', '3030', '3153', '3154', '3060', '3125', '3181', '3193', '3171', '3009', '3085', '3055', '3087', '3084', '3088']",['3115' '3153']
tgm059_preop,"['3057', '3188', '3133', '3031', '3014', '3028', '3069', '3167', '3043', '3053', '3120', '3067', '3128', '3002', '3118']","['3057', '3188', '3030', '3133', '3031', '3154', '3014', '3125', '3181', '3153', '3060', '3167', '3084', '3171', '3193']",['3014' '3031' '3057' '3133' '3167' '3188']
tgm060_preop,"['3162', '3011', '3192', '3027', '3003', '3093', '3023', '3185', '3030', '3065', '3047', '3157', '3102', '3009', '3166']","['3162', '3011', '3030', '3192', '3027', '3154', '3125', '3153', '3084', '3181', '3053', '3171', '3088', '3157', '3055']",['3011' '3027' '3030' '3157' '3162' '3192']
tgm061_preop,"['3066', '3115', '3100', '3160', '3090', '3179', '3186', '3044', '3182', '3071', '3135', '3015', '3097', '3124', '3161']","['3066', '3115', '3071', '3030', '3154', '3060', '3153', '3125', '3171', '3085', '3181', '3090', '3160', '3084', '3193']",['3066' '3071' '3090' '3115' '3160']
tgm062_preop,"['3113', '3074', '3174', '3082', '3169', '3163', '3131', '3109', '3096', '3151', '3194', '3058', '3077', '3081', '3177']","['3113', '3074', '3030', '3194', '3174', '3154', '3125', '3169', '3060', '3181', '3153', '3163', '3131', '3193', '3009']",['3074' '3113' '3131' '3163' '3169' '3174' '3194']
tgm063_preop,"['3194', '3106', '3174', '3163', '3169', '3196', '3072', '3005', '3146', '3113', '3074', '3151', '3096', '3002', '3109']","['3030', '3154', '3153', '3060', '3125', '3193', '3087', '3009', '3115', '3181', '3121', '3171', '3055', '3053', '3057']",[]
tgm064_preop,"['3199', '3047', '3128', '3008', '3127', '3107', '3148', '3104', '3142', '3025', '3043', '3035', '3064', '3126', '3040']","['3154', '3125', '3060', '3030', '3199', '3193', '3181', '3153', '3171', '3089', '3087', '3055', '3113', '3084', '3071']",['3199']
tgm065_preop,"['3141', '3080', '3076', '3111', '3101', '3132', '3054', '3150', '3136', '3052', '3143', '3122', '3050', '3004', '3189']","['3030', '3154', '3060', '3125', '3153', '3181', '3171', '3087', '3193', '3141', '3055', '3084', '3080', '3009', '3088']",['3080' '3141']
tgm066_preop,"['3057', '3167', '3031', '3014', '3028', '3173', '3049', '3118', '3043', '3120', '3188', '3191', '3038', '3013', '3069']","['3057', '3030', '3154', '3014', '3060', '3153', '3181', '3087', '3125', '3084', '3193', '3113', '3195', '3006', '3171']",['3014' '3057']
tgm067_preop,"['3131', '3114', '3096', '3151', '3174', '3109', '3116', '3082', '3169', '3179', '3015', '3081', '3077', '3105', '3012']","['3131', '3116', '3096', '3114', '3154', '3109', '3030', '3151', '3174', '3125', '3152', '3153', '3171', '3060', '3193']",['3096' '3109' '3114' '3116' '3131' '3151' '3174']
tgm068_preop,"['3062', '3048', '3159', '3147', '3129', '3184', '3143', '3073', '3026', '3182', '3004', '3189', '3110', '3108', '3144']","['3062', '3048', '3030', '3181', '3153', '3193', '3125', '3129', '3060', '3084', '3159', '3115', '3009', '3171', '3085']",['3048' '3062' '3129' '3159']
tgm071_preop,"['3162', '3011', '3192', '3027', '3020', '3003', '3089', '3086', '3093', '3185', '3045', '3126', '3065', '3046', '3023']","['3162', '3030', '3011', '3154', '3192', '3125', '3027', '3153', '3087', '3181', '3088', '3171', '3071', '3009', '3084']",['3011' '3027' '3162' '3192']
