tumor,gt_top,encoded_top,intersection
tgm001_preop,"['15140', '12592', '19285', '24648', '16619', '9478', '10662', '22078', '26304', '26267', '22123', '23837', '26291', '10216', '12619']","['12592', '15140', '19285', '24648', '16619', '25825', '26304', '10662', '9478', '23837', '8812', '26291', '26267', '22078', '14738']","['10662' '12592' '15140' '16619' '19285' '22078' '23837' '24648' '26267'
 '26291' '26304' '9478']"
tgm002_preop,"['8512', '16354', '24483', '26688', '15111', '8274', '17972', '14800', '17367', '11618', '14441', '24566', '18378', '21513', '12982']","['11611', '14721', '21169', '15718', '24183', '24714', '12824', '10281', '14910', '13717', '20663', '27550', '18146', '11265', '25105']",[]
tgm003_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['11611', '14721', '21169', '15718', '24183', '24714', '12824', '10281', '14910', '13717', '20663', '27550', '18146', '11265', '25105']",[]
tgm004_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['11611', '14721', '21169', '15718', '24183', '24714', '12824', '10281', '14910', '13717', '20663', '27550', '18146', '11265', '25105']",[]
tgm005_preop,"['16428', '22724', '14527', '19930', '8218', '22226', '21711', '14543', '21898', '21862', '23737', '9903', '13762', '10323', '16537']","['16428', '14527', '22724', '8218', '19930', '15670', '11506', '26245', '21862', '24555', '10711', '11611', '22190', '14721', '14513']",['14527' '16428' '19930' '21862' '22724' '8218']
tgm006_preop,"['8531', '20941', '17098', '17022', '23778', '22357', '21918', '15993', '11124', '8969', '14107', '15932', '8291', '14510', '8822']","['20941', '17098', '8531', '21918', '10282', '15932', '18490', '21372', '23778', '26915', '13328', '10689', '17022', '11124', '21809']",['11124' '15932' '17022' '17098' '20941' '21918' '23778' '8531']
tgm008_preop,"['20932', '24992', '9273', '12606', '10889', '22314', '24725', '8694', '26384', '24040', '27523', '11256', '25174', '24959', '17096']","['20932', '11256', '24959', '22314', '27523', '9273', '25174', '24582', '24992', '17963', '27951', '24766', '12606', '10889', '24271']","['10889' '11256' '12606' '20932' '22314' '24959' '24992' '25174' '27523'
 '9273']"
tgm009_preop,"['17228', '9768', '20671', '10416', '26122', '27960', '25899', '20046', '15503', '27967', '27123', '23888', '18866', '22542', '11334']","['17228', '10416', '26122', '20671', '9768', '15503', '11611', '25899', '20046', '27960', '27967', '8643', '14721', '24548', '12824']","['10416' '15503' '17228' '20046' '20671' '25899' '26122' '27960' '27967'
 '9768']"
tgm010_preop,"['12948', '16028', '12426', '27066', '25769', '16840', '19359', '8140', '15673', '22952', '10179', '26482', '12102', '22709', '17711']","['12948', '16028', '16840', '8140', '22709', '12426', '22952', '12102', '11611', '19359', '16736', '14391', '15756', '17750', '26482']","['12102' '12426' '12948' '16028' '16840' '19359' '22709' '22952' '26482'
 '8140']"
tgm011_preop,"['27715', '19232', '17681', '19582', '10711', '8496', '9861', '11579', '16477', '13210', '18038', '14513', '17218', '23796', '24555']","['27715', '17681', '19232', '18038', '10711', '19582', '13210', '11576', '14513', '9861', '8496', '11579', '24555', '17218', '12211']","['10711' '11579' '13210' '14513' '17218' '17681' '18038' '19232' '19582'
 '24555' '27715' '8496' '9861']"
tgm013_preop,"['8881', '20968', '10106', '21593', '21302', '27172', '19127', '27391', '24134', '18607', '18815', '25525', '23878', '16161', '24633']","['11611', '14721', '21169', '15718', '24183', '24714', '12824', '10281', '13717', '20663', '14910', '27550', '11265', '18146', '22779']",[]
tgm014_preop,"['26797', '20461', '12366', '13894', '13842', '21994', '11718', '16280', '24244', '18263', '13460', '22265', '15639', '25946', '18465']","['26797', '20461', '12366', '16280', '21994', '13894', '15639', '22265', '11718', '13842', '18591', '25946', '18465', '20655', '24244']","['11718' '12366' '13842' '13894' '15639' '16280' '18465' '20461' '21994'
 '22265' '24244' '25946' '26797']"
tgm015_preop,"['9840', '8556', '25244', '12647', '13008', '20192', '25479', '19494', '12533', '15552', '9903', '11124', '13126', '15922', '11846']","['25244', '13008', '12647', '25479', '8556', '9840', '12533', '15922', '11846', '17022', '13126', '9903', '14332', '17492', '20192']","['11846' '12533' '12647' '13008' '13126' '15922' '20192' '25244' '25479'
 '8556' '9840' '9903']"
tgm016_preop,"['22183', '27126', '8144', '21817', '15944', '27366', '12856', '23429', '15341', '14310', '27562', '25182', '25445', '23055', '17942']","['22183', '27126', '8144', '12856', '21817', '27366', '23429', '15944', '23055', '15341', '27562', '14003', '24300', '25445', '14310']","['12856' '14310' '15341' '15944' '21817' '22183' '23055' '23429' '25445'
 '27126' '27366' '27562' '8144']"
