tumor,gt_top,encoded_top,intersection
tgm001_preop,"['3144', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3080']","['3048', '3144', '3073', '3154', '3030', '3159', '3080', '3181', '3153', '3055', '3084', '3087', '3125', '3193', '3060']",['3030' '3055' '3080' '3125' '3144' '3154' '3181']
tgm002_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3084', '3087', '3121', '3009', '3055', '3088', '3071']",['3009' '3030' '3055' '3121' '3125' '3154' '3171' '3181']
tgm003_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3084', '3087', '3121', '3055', '3009', '3088', '3071']",['3009' '3030' '3055' '3121' '3125' '3154' '3171' '3181']
tgm004_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3084', '3087', '3121', '3055', '3009', '3088', '3071']",['3009' '3030' '3055' '3121' '3125' '3154' '3171' '3181']
tgm005_preop,"['3152', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3082', '3055', '3125', '3074', '3194', '3085', '3047']","['3152', '3116', '3030', '3154', '3125', '3153', '3087', '3171', '3060', '3181', '3082', '3193', '3109', '3018', '3009']",['3030' '3082' '3125' '3152' '3154' '3171' '3181']
tgm006_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3066']","['3030', '3154', '3153', '3060', '3125', '3181', '3171', '3009', '3193', '3084', '3131', '3099', '3053', '3055', '3194']",['3030' '3055' '3125' '3154' '3171' '3181' '3194']
tgm008_preop,"['3030', '3181', '3171', '3154', '3121', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3125', '3060', '3153', '3181', '3027', '3162', '3171', '3087', '3006', '3071', '3084', '3055', '3053']",['3006' '3030' '3055' '3125' '3154' '3171' '3181']
tgm009_preop,"['3194', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3074', '3085', '3047', '3009']","['3194', '3030', '3154', '3060', '3181', '3153', '3087', '3125', '3193', '3071', '3171', '3113', '3055', '3085', '3009']",['3009' '3030' '3055' '3085' '3125' '3154' '3171' '3181' '3194']
tgm010_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3188', '3074']","['3030', '3060', '3154', '3125', '3153', '3181', '3171', '3121', '3193', '3006', '3084', '3088', '3057', '3085', '3053']",['3006' '3030' '3057' '3085' '3121' '3125' '3154' '3171' '3181']
tgm011_preop,"['3087', '3152', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3055', '3125', '3194', '3085', '3047', '3074']","['3087', '3116', '3152', '3154', '3030', '3171', '3060', '3153', '3181', '3125', '3131', '3053', '3193', '3084', '3094']",['3030' '3087' '3125' '3152' '3154' '3171' '3181']
tgm013_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3084', '3087', '3121', '3009', '3055', '3088', '3071']",['3009' '3030' '3055' '3121' '3125' '3154' '3171' '3181']
tgm014_preop,"['3192', '3047', '3162', '3030', '3181', '3171', '3154', '3121', '3006', '3057', '3152', '3055', '3125', '3009', '3194']","['3011', '3162', '3192', '3030', '3154', '3047', '3125', '3153', '3088', '3009', '3193', '3084', '3171', '3181', '3053']",['3009' '3030' '3047' '3125' '3154' '3162' '3171' '3181' '3192']
tgm015_preop,"['3152', '3181', '3171', '3074', '3154', '3082', '3121', '3030', '3006', '3057', '3055', '3125', '3087', '3194', '3085']","['3131', '3116', '3109', '3096', '3154', '3030', '3174', '3171', '3060', '3153', '3082', '3181', '3193', '3084', '3125']",['3030' '3082' '3125' '3154' '3171' '3181']
tgm016_preop,"['3140', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074']","['3140', '3030', '3159', '3147', '3060', '3186', '3154', '3181', '3153', '3007', '3171', '3125', '3087', '3193', '3089']",['3030' '3125' '3140' '3154' '3171' '3181']
tgm017_preop,"['3144', '3152', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3055', '3125', '3194', '3085', '3047', '3074']","['3144', '3073', '3030', '3154', '3090', '3125', '3060', '3153', '3055', '3171', '3181', '3009', '3121', '3186', '3194']",['3030' '3055' '3121' '3125' '3144' '3154' '3171' '3181' '3194']
tgm018_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3060', '3125', '3181', '3153', '3087', '3171', '3193', '3121', '3084', '3055', '3088', '3113', '3099']",['3030' '3055' '3121' '3125' '3154' '3171' '3181']
tgm019_preop,"['3140', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3047', '3152', '3060', '3055', '3125', '3194', '3085']","['3140', '3086', '3030', '3060', '3045', '3154', '3147', '3181', '3172', '3084', '3125', '3153', '3171', '3099', '3089']",['3030' '3060' '3125' '3140' '3154' '3171' '3181']
tgm021_preop,"['3057', '3181', '3171', '3154', '3188', '3121', '3030', '3006', '3152', '3055', '3125', '3194', '3085', '3047', '3074']","['3057', '3154', '3030', '3125', '3133', '3171', '3181', '3152', '3009', '3069', '3113', '3131', '3088', '3149', '3085']",['3030' '3057' '3085' '3125' '3152' '3154' '3171' '3181']
tgm022_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3060', '3125', '3181', '3153', '3171', '3193', '3087', '3121', '3084', '3009', '3071', '3107', '3055']",['3009' '3030' '3055' '3121' '3125' '3154' '3171' '3181']
tgm023_preop,"['3181', '3171', '3154', '3152', '3121', '3030', '3006', '3057', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3152', '3087', '3125', '3060', '3181', '3153', '3171', '3193', '3084', '3055', '3057', '3121', '3071']",['3030' '3055' '3057' '3121' '3125' '3152' '3154' '3171' '3181']
tgm024_preop,"['3057', '3181', '3171', '3154', '3121', '3030', '3006', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3060', '3125', '3057', '3153', '3181', '3193', '3087', '3084', '3113', '3171', '3006', '3071', '3055']",['3006' '3030' '3055' '3057' '3125' '3154' '3171' '3181']
tgm025_preop,"['3057', '3181', '3171', '3154', '3121', '3030', '3006', '3009', '3152', '3055', '3125', '3188', '3194', '3047', '3085']","['3030', '3057', '3009', '3154', '3060', '3125', '3181', '3171', '3188', '3193', '3153', '3087', '3084', '3121', '3071']",['3009' '3030' '3057' '3121' '3125' '3154' '3171' '3181' '3188']
tgm026_preop,"['3009', '3030', '3181', '3171', '3154', '3121', '3006', '3057', '3152', '3055', '3125', '3047', '3194', '3085', '3074']","['3009', '3030', '3154', '3125', '3181', '3153', '3084', '3060', '3055', '3171', '3193', '3057', '3142', '3121', '3085']",['3009' '3030' '3055' '3057' '3085' '3121' '3125' '3154' '3171' '3181']
tgm027_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3171', '3125', '3159', '3181', '3153', '3147', '3009', '3084', '3060', '3018', '3071', '3057', '3053']",['3009' '3030' '3057' '3125' '3154' '3171' '3181']
tgm028_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3145', '3154', '3181', '3153', '3125', '3060', '3084', '3171', '3009', '3087', '3057', '3090', '3193', '3088']",['3009' '3030' '3057' '3125' '3154' '3171' '3181']
tgm029_preop,"['3181', '3171', '3154', '3030', '3121', '3006', '3057', '3152', '3055', '3125', '3194', '3074', '3085', '3047', '3034']","['3034', '3030', '3119', '3154', '3109', '3060', '3181', '3153', '3125', '3071', '3084', '3121', '3188', '3009', '3171']",['3030' '3034' '3121' '3125' '3154' '3171' '3181']
tgm030_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3084', '3087', '3121', '3055', '3009', '3088', '3071']",['3009' '3030' '3055' '3121' '3125' '3154' '3171' '3181']
tgm031_preop,"['3144', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3140', '3194', '3085', '3047']","['3144', '3073', '3090', '3030', '3140', '3186', '3154', '3159', '3007', '3153', '3055', '3171', '3125', '3087', '3053']",['3030' '3055' '3125' '3140' '3144' '3154' '3171']
tgm033_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3074', '3194', '3085', '3047', '3009']","['3030', '3154', '3060', '3125', '3181', '3084', '3153', '3106', '3193', '3113', '3171', '3055', '3131', '3085', '3057']",['3030' '3055' '3057' '3085' '3125' '3154' '3171' '3181']
