tumor,gt_top,encoded_top,intersection
tgm001_preop,"['9478', '25825', '15140', '26267', '23251', '20098', '22078', '16619', '19285', '25821', '12592', '11461', '10662', '12619', '18204']","['12592', '15140', '19285', '24648', '16619', '25825', '26304', '10662', '9478', '23837', '8812', '26291', '26267', '22078', '14738']",['10662' '12592' '15140' '16619' '19285' '22078' '25825' '26267' '9478']
tgm002_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['11611', '14721', '21169', '15718', '24183', '24714', '12824', '10281', '14910', '13717', '20663', '27550', '18146', '11265', '25105']",[]
tgm003_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['11611', '14721', '21169', '15718', '24183', '24714', '12824', '10281', '14910', '13717', '20663', '27550', '18146', '11265', '25105']",[]
tgm004_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['11611', '14721', '21169', '15718', '24183', '24714', '12824', '10281', '14910', '13717', '20663', '27550', '18146', '11265', '25105']",[]
tgm005_preop,"['8218', '16428', '14527', '21862', '22190', '26245', '20165', '10323', '15670', '11506', '27460', '23737', '26380', '21674', '24555']","['16428', '14527', '22724', '8218', '19930', '15670', '11506', '26245', '21862', '24555', '10711', '11611', '22190', '14721', '14513']",['11506' '14527' '15670' '16428' '21862' '22190' '24555' '26245' '8218']
tgm006_preop,"['17098', '20941', '8822', '16065', '8531', '18217', '23401', '12147', '16992', '11618', '18180', '14774', '26450', '10896', '16900']","['20941', '17098', '8531', '21918', '10282', '15932', '18490', '21372', '23778', '26915', '13328', '10689', '17022', '11124', '21809']",['17098' '20941' '8531']
tgm008_preop,"['24992', '20932', '27523', '11256', '9273', '26384', '12606', '24725', '8694', '10889', '11590', '11618', '16992', '18180', '14774']","['20932', '11256', '24959', '22314', '27523', '9273', '25174', '24582', '24992', '17963', '27951', '24766', '12606', '10889', '24271']",['10889' '11256' '12606' '20932' '24992' '27523' '9273']
tgm009_preop,"['17228', '9768', '27967', '20046', '18866', '27123', '20671', '27960', '11618', '16992', '18180', '14774', '26450', '10896', '14464']","['17228', '10416', '26122', '20671', '9768', '15503', '11611', '25899', '20046', '27960', '27967', '8643', '14721', '24548', '12824']",['17228' '20046' '20671' '27960' '27967' '9768']
tgm010_preop,"['19507', '19359', '24280', '22952', '8161', '25769', '17711', '12948', '16028', '21359', '8129', '8140', '17188', '10896', '12426']","['12948', '16028', '16840', '8140', '22709', '12426', '22952', '12102', '11611', '19359', '16736', '14391', '15756', '17750', '26482']",['12426' '12948' '16028' '19359' '22952' '8140']
tgm011_preop,"['27715', '18038', '17681', '24555', '9861', '19232', '19582', '17864', '24515', '15670', '16477', '16332', '21477', '11506', '15603']","['27715', '17681', '19232', '18038', '10711', '19582', '13210', '11576', '14513', '9861', '8496', '11579', '24555', '17218', '12211']",['17681' '18038' '19232' '19582' '24555' '27715' '9861']
tgm013_preop,"['8881', '11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '10106', '27185']","['11611', '14721', '21169', '15718', '24183', '24714', '12824', '10281', '13717', '20663', '14910', '27550', '11265', '18146', '22779']",[]
tgm014_preop,"['15639', '21994', '22265', '26797', '20461', '13894', '12366', '12271', '19982', '16506', '13717', '18465', '11718', '24459', '20655']","['26797', '20461', '12366', '16280', '21994', '13894', '15639', '22265', '11718', '13842', '18591', '25946', '18465', '20655', '24244']","['11718' '12366' '13894' '15639' '18465' '20461' '20655' '21994' '22265'
 '26797']"
tgm015_preop,"['12647', '9840', '17349', '20192', '8822', '17022', '25479', '20941', '11846', '8556', '16753', '11124', '20162', '20432', '17492']","['25244', '13008', '12647', '25479', '8556', '9840', '12533', '15922', '11846', '17022', '13126', '9903', '14332', '17492', '20192']",['11846' '12647' '17022' '17492' '20192' '25479' '8556' '9840']
tgm016_preop,"['22183', '27126', '12856', '8144', '23055', '23429', '27366', '9623', '25445', '13798', '21817', '24419', '16691', '14774', '26957']","['22183', '27126', '8144', '12856', '21817', '27366', '23429', '15944', '23055', '15341', '27562', '14003', '24300', '25445', '14310']",['12856' '21817' '22183' '23055' '23429' '25445' '27126' '27366' '8144']
tgm017_preop,"['20987', '8546', '21993', '17725', '15577', '27590', '16457', '8052', '24415', '23039', '14007', '13449', '13546', '16660', '24580']","['20987', '17725', '24580', '16345', '13546', '24415', '19294', '22908', '14851', '15577', '25774', '16457', '12529', '14262', '22710']",['13546' '15577' '16457' '17725' '20987' '24415' '24580']
tgm018_preop,"['20816', '11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '16284', '18218', '9500', '21356', '23251', '27185']","['12277', '11611', '21169', '10747', '14721', '12824', '15718', '24714', '9793', '19377', '12770', '24183', '13172', '13717', '10281']",[]
tgm019_preop,"['27985', '21009', '18406', '16151', '25624', '25980', '21045', '11055', '11575', '17479', '27366', '9233', '18477', '19338', '19440']","['27985', '21009', '18406', '25624', '26370', '11203', '9233', '16151', '15088', '26809', '19338', '21045', '25980', '23550', '11055']","['11055' '16151' '18406' '19338' '21009' '21045' '25624' '25980' '27985'
 '9233']"
tgm021_preop,"['11103', '20092', '18826', '21241', '15197', '16142', '11176', '8918', '16765', '18364', '9867', '18008', '13006', '19311', '16059']","['11103', '20092', '11176', '18008', '18826', '24125', '15528', '8918', '15197', '23357', '12071', '9136', '9991', '13420', '9123']",['11103' '11176' '15197' '18008' '18826' '20092' '8918']
tgm022_preop,"['11618', '14441', '11892', '26688', '16992', '18180', '27185', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356']","['11611', '11618', '21169', '14721', '12824', '24183', '15718', '24714', '10281', '13717', '27002', '14441', '22779', '14910', '11265']",['11618' '14441']
tgm023_preop,"['22190', '18038', '11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185']","['11611', '18038', '14721', '21169', '15718', '24183', '15670', '12824', '22190', '11506', '24714', '13717', '14910', '27550', '10281']",['18038' '22190']
tgm024_preop,"['26371', '20816', '15787', '9875', '23852', '11484', '27629', '21285', '10883', '20299', '23881', '20869', '20806', '26703', '16354']","['26371', '20869', '10883', '12184', '8083', '8041', '21285', '27629', '11484', '20816', '9875', '15787', '16147', '23881', '25067']","['10883' '11484' '15787' '20816' '20869' '21285' '23881' '26371' '27629'
 '9875']"
tgm025_preop,"['14910', '16506', '24928', '26100', '20299', '25105', '20816', '10896', '15111', '20281', '18675', '24164', '15787', '16365', '19522']","['14910', '25105', '26100', '15906', '11611', '26623', '18882', '24533', '27566', '21169', '11582', '18364', '20461', '14721', '13013']",['14910' '25105' '26100']
tgm026_preop,"['16894', '26100', '27172', '18815', '16506', '23920', '13832', '20281', '8881', '24277', '18913', '14910', '8694', '24416', '24274']","['26100', '23920', '27172', '18815', '16894', '16077', '15187', '18913', '11582', '13187', '21470', '14910', '24277', '15906', '13013']",['14910' '16894' '18815' '18913' '23920' '24277' '26100' '27172']
tgm027_preop,"['11177', '17729', '24714', '14774', '9124', '16691', '14401', '9623', '9730', '17439', '24419', '26109', '21824', '9200', '19974']","['11177', '19974', '9124', '13705', '24714', '26109', '23960', '24419', '16691', '22046', '9730', '24083', '17729', '18140', '9200']","['11177' '16691' '17729' '19974' '24419' '24714' '26109' '9124' '9200'
 '9730']"
tgm028_preop,"['20354', '13551', '18108', '17817', '23266', '21181', '15947', '17046', '11189', '14373', '17180', '11789', '26090', '24946', '19124']","['18108', '13551', '20354', '21181', '15947', '17817', '17718', '11189', '17180', '25278', '23266', '17046', '23922', '16621', '23119']","['11189' '13551' '15947' '17046' '17180' '17817' '18108' '20354' '21181'
 '23266']"
tgm029_preop,"['11472', '12969', '9209', '20930', '26450', '22607', '16631', '15411', '11950', '13206', '26713', '18144', '24516', '19282', '21614']","['11472', '12969', '21614', '14191', '19247', '16631', '24765', '20096', '24769', '26713', '26844', '9209', '13206', '11151', '18144']",['11472' '12969' '13206' '16631' '18144' '21614' '26713' '9209']
tgm030_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['11611', '14721', '21169', '15718', '24183', '24714', '12824', '10281', '14910', '13717', '20663', '27550', '18146', '11265', '25105']",[]
tgm031_preop,"['16457', '24415', '14064', '17725', '23582', '14851', '13682', '24580', '15577', '20987', '8546', '22908', '13546', '23327', '26957']","['16457', '9860', '12529', '19909', '13546', '10836', '24415', '14851', '27012', '8367', '20336', '17725', '23648', '16345', '10664']",['13546' '14851' '16457' '17725' '24415']
tgm033_preop,"['14812', '12143', '11618', '16992', '18180', '14774', '26450', '10896', '23691', '26090', '27967', '18218', '9500', '21356', '23251']","['16927', '10776', '26730', '25947', '14309', '11611', '12143', '21389', '17349', '16239', '17795', '21169', '22628', '24423', '22375']",['12143']
tgm034_preop,"['18882', '20299', '20816', '18364', '15303', '19573', '21359', '15787', '26371', '13634', '26378', '17188', '15111', '19359', '18146']","['18882', '20299', '26482', '24436', '8059', '18364', '17214', '20816', '26371', '15303', '19573', '26594', '21359', '25826', '19359']",['15303' '18364' '18882' '19359' '19573' '20299' '20816' '21359' '26371']
tgm035_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['11611', '14721', '21169', '15718', '24183', '24714', '12824', '10281', '14910', '13717', '20663', '27550', '18146', '11265', '25105']",[]
tgm036_preop,"['16840', '19946', '26378', '24682', '23053', '23127', '21359', '12948', '19359', '9310', '22709', '27155', '17750', '10417', '24209']","['9310', '16840', '19946', '19359', '24682', '23127', '26378', '23053', '10417', '24421', '12948', '23673', '16837', '22709', '16736']","['10417' '12948' '16840' '19359' '19946' '22709' '23053' '23127' '24682'
 '26378' '9310']"
tgm037_preop,"['26844', '20096', '19247', '16432', '10499', '21614', '19282', '26713', '12317', '14309', '11764', '13206', '9209', '9775', '21446']","['19247', '21614', '11472', '15754', '26844', '12969', '9775', '21892', '8613', '26713', '16432', '16035', '12317', '20096', '14309']",['12317' '14309' '16432' '19247' '20096' '21614' '26713' '26844' '9775']
tgm038_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['11611', '14721', '21169', '15718', '24183', '24714', '12824', '10281', '14910', '13717', '20663', '27550', '18146', '11265', '25105']",[]
tgm039_preop,"['8827', '26080', '27897', '9341', '11503', '25109', '20441', '27136', '26613', '11854', '25594', '14450', '16933', '14754', '19065']","['26080', '8827', '25109', '27897', '26613', '9939', '26095', '16946', '9341', '18852', '20722', '11503', '9947', '14450', '27136']",['11503' '14450' '25109' '26080' '26613' '27136' '27897' '8827' '9341']
tgm041_preop,"['16894', '13832', '16506', '26100', '8881', '27172', '8694', '24277', '24274', '14910', '24992', '20281', '11618', '16992', '18180']","['16894', '13832', '26100', '15187', '18913', '27172', '23920', '18815', '24277', '8694', '16506', '14910', '13013', '16077', '11853']",['13832' '14910' '16506' '16894' '24277' '26100' '27172' '8694']
tgm042_preop,"['8546', '14064', '21993', '13413', '15075', '26331', '16567', '21026', '13682', '17183', '16799', '23039', '25869', '19176', '27173']","['14064', '8546', '13682', '19575', '14651', '17183', '25364', '21993', '21428', '21026', '13413', '15537', '10591', '19309', '18977']",['13413' '13682' '14064' '17183' '21026' '21993' '8546']
tgm044_preop,"['15993', '18955', '16008', '11938', '21918', '22357', '14356', '24828', '26915', '16065', '19110', '17125', '15932', '18243', '10318']","['24828', '24618', '13751', '16378', '10318', '16008', '18955', '14356', '26915', '17125', '23169', '18716', '14611', '24811', '10393']",['10318' '14356' '16008' '17125' '18955' '24828' '26915']
tgm045_preop,"['11938', '18299', '8969', '22357', '23778', '17022', '24828', '21918', '18490', '17481', '18955', '21363', '15993', '20941', '8531']","['18955', '13751', '10282', '16414', '26915', '18490', '11938', '24618', '14611', '24828', '18671', '25050', '8035', '23169', '10689']",['11938' '18490' '18955' '24828']
tgm046_preop,"['23629', '9545', '9693', '25495', '13958', '24618', '10979', '24914', '11023', '23415', '9180', '17601', '24019', '13751', '23640']","['24618', '9545', '11440', '24914', '9693', '23629', '13958', '10979', '25495', '23317', '23279', '11059', '13726', '24634', '13751']",['10979' '13751' '13958' '23629' '24618' '24914' '25495' '9545' '9693']
tgm047_preop,"['21359', '26378', '19359', '14241', '18146', '21996', '27867', '11537', '9192', '13580', '17188', '14074', '22870', '19135', '18364']","['14241', '21359', '11537', '26378', '19946', '21996', '19359', '27867', '8672', '23142', '13580', '14074', '17214', '24768', '27836']",['11537' '13580' '14074' '14241' '19359' '21359' '21996' '26378' '27867']
tgm048_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['11611', '14721', '21169', '15718', '24183', '24714', '12824', '10281', '14910', '13717', '20663', '27550', '11265', '18146', '25105']",[]
tgm049_preop,"['13475', '20487', '15341', '22799', '19440', '23055', '14875', '13798', '23506', '27366', '9408', '23429', '8144', '13717', '21817']","['13475', '20487', '19440', '22799', '15341', '13798', '23506', '14875', '27366', '8144', '15618', '23055', '23429', '14596', '9408']","['13475' '13798' '14875' '15341' '19440' '20487' '22799' '23055' '23429'
 '23506' '27366' '8144' '9408']"
tgm050_preop,"['21778', '25928', '22621', '21487', '12147', '11411', '16764', '27969', '14687', '26677', '12208', '18362', '17052', '27833', '14389']","['25928', '21487', '21778', '26677', '9151', '27500', '22621', '16764', '17052', '11411', '18362', '10212', '12208', '11611', '15864']","['11411' '12208' '16764' '17052' '18362' '21487' '21778' '22621' '25928'
 '26677']"
tgm051_preop,"['16496', '12777', '20299', '23061', '25769', '11618', '16992', '18180', '18097', '14774', '26450', '10896', '26090', '27967', '18218']","['25769', '21087', '12777', '23061', '8304', '16496', '15673', '15264', '23144', '9256', '9543', '11711', '17061', '11611', '21202']",['12777' '16496' '23061' '25769']
tgm052_preop,"['19905', '8584', '11850', '24473', '23582', '9068', '17076', '19575', '25831', '27850', '14064', '21020', '8546', '17183', '13655']","['11850', '24473', '19905', '9638', '9068', '8584', '14980', '15622', '23582', '16707', '17076', '14978', '18077', '13975', '19575']",['11850' '17076' '19575' '19905' '23582' '24473' '8584' '9068']
tgm053_preop,"['10318', '18716', '19168', '14211', '23104', '26049', '10393', '24811', '22579', '26067', '24828', '18547', '16378', '18243', '22153']","['19168', '26067', '10318', '13385', '26049', '18716', '8844', '23104', '14211', '19266', '22579', '10393', '24811', '18547', '18243']","['10318' '10393' '14211' '18243' '18547' '18716' '19168' '22579' '23104'
 '24811' '26049' '26067']"
tgm054_preop,"['10720', '13471', '16378', '22837', '11265', '17934', '14211', '17618', '24828', '10393', '27868', '18716', '11735', '10318', '24811']","['10720', '22837', '13471', '11265', '27868', '17934', '11735', '16378', '14211', '20255', '26931', '10393', '17618', '18716', '24956']","['10393' '10720' '11265' '11735' '13471' '14211' '16378' '17618' '17934'
 '18716' '22837' '27868']"
tgm055_preop,"['11256', '27523', '24992', '20932', '11618', '16992', '18180', '14774', '26450', '10896', '9273', '26090', '27967', '18218', '9500']","['20932', '11256', '24992', '24582', '11611', '27523', '22314', '24959', '9273', '24766', '27951', '25174', '17963', '10889', '12606']",['11256' '20932' '24992' '27523' '9273']
tgm056_preop,"['12777', '16496', '25769', '20299', '18097', '23061', '11618', '23144', '16992', '18180', '14774', '26450', '10896', '26090', '27967']","['12777', '25769', '21087', '23061', '8304', '15264', '15673', '16496', '23144', '9543', '21202', '17061', '9256', '11711', '18389']",['12777' '16496' '23061' '23144' '25769']
tgm057_preop,"['27523', '11256', '24992', '20932', '13437', '9138', '23739', '11590', '11618', '16992', '18180', '14774', '26450', '10896', '26090']","['27523', '11256', '22314', '20932', '24766', '27552', '12606', '24582', '17096', '9273', '25174', '24959', '11590', '27733', '10370']",['11256' '11590' '20932' '27523']
tgm058_preop,"['11265', '17934', '22871', '9974', '27550', '17820', '23084', '22837', '18507', '20817', '16197', '10393', '23799', '17984', '27868']","['17934', '11265', '17820', '27868', '22837', '26931', '27550', '23799', '13471', '22871', '11735', '9974', '16197', '17618', '20340']","['11265' '16197' '17820' '17934' '22837' '22871' '23799' '27550' '27868'
 '9974']"
tgm059_preop,"['18882', '18364', '19573', '21241', '24436', '14241', '17214', '21359', '21951', '12459', '20299', '20816', '15044', '13895', '12551']","['18882', '24436', '18364', '17214', '23100', '20299', '25826', '20816', '26858', '15044', '21077', '12551', '19573', '21951', '26594']","['12551' '15044' '17214' '18364' '18882' '19573' '20299' '20816' '21951'
 '24436']"
tgm060_preop,"['24244', '13894', '21994', '15639', '19185', '12366', '11718', '23551', '26985', '19982', '22265', '19913', '26797', '23759', '24459']","['24244', '19504', '22442', '24271', '26985', '13894', '27951', '15639', '12366', '23759', '18591', '23812', '16958', '9163', '16280']",['12366' '13894' '15639' '23759' '24244' '26985']
tgm061_preop,"['13471', '10720', '27885', '24956', '21363', '11735', '19009', '22837', '21474', '17618', '27019', '27868', '27500', '16378', '8262']","['24956', '15973', '8807', '10720', '22837', '27885', '11735', '13471', '27868', '11845', '10367', '11265', '8262', '10759', '26931']",['10720' '11735' '13471' '22837' '24956' '27868' '27885' '8262']
tgm062_preop,"['8643', '11871', '26873', '15503', '27532', '16553', '22558', '22580', '18125', '20084', '20749', '20671', '23691', '21959', '16230']","['8643', '26873', '22558', '19742', '15503', '16547', '21577', '24296', '8846', '20749', '26681', '18419', '11871', '11289', '17637']",['11871' '15503' '20749' '22558' '26873' '8643']
tgm063_preop,"['11052', '10636', '8961', '14419', '18125', '25803', '19063', '20084', '14812', '19037', '9235', '14464', '21959', '22210', '9768']","['11052', '21251', '22991', '8961', '10636', '23746', '25803', '19063', '18566', '25082', '20702', '20084', '13937', '14419', '22807']",['10636' '11052' '14419' '19063' '20084' '25803' '8961']
tgm064_preop,"['15498', '27694', '17721', '21278', '20370', '14789', '10639', '22882', '14099', '23638', '19155', '25558', '21429', '19522', '9734']","['26625', '23638', '17721', '27353', '15498', '27694', '11584', '14789', '22713', '21278', '10394', '22330', '25378', '26523', '11010']",['14789' '15498' '17721' '21278' '23638' '27694']
tgm065_preop,"['19579', '15295', '22905', '10924', '23663', '25575', '20108', '10613', '11618', '16992', '18180', '23308', '14774', '26450', '10896']","['10924', '15295', '11611', '25575', '22905', '10613', '17254', '14721', '13793', '21169', '27091', '24714', '15718', '12824', '26475']",['10613' '10924' '15295' '22905' '25575']
tgm066_preop,"['26371', '20816', '20806', '20299', '20869', '15303', '27629', '21285', '25067', '15787', '14434', '10883', '16965', '11484', '19555']","['26371', '20816', '25067', '8083', '20806', '20869', '8041', '21285', '20299', '27629', '15303', '10883', '18219', '20677', '16147']","['10883' '15303' '20299' '20806' '20816' '20869' '21285' '25067' '26371'
 '27629']"
tgm067_preop,"['9977', '8372', '13095', '22226', '21048', '25451', '13810', '19494', '14543', '19272', '12261', '21711', '21809', '13762', '11836']","['9977', '8372', '13095', '19494', '21048', '14543', '22226', '12819', '13769', '12533', '25451', '21809', '18466', '9840', '15319']",['13095' '14543' '19494' '21048' '21809' '22226' '25451' '8372' '9977']
tgm068_preop,"['23089', '12240', '27757', '21185', '9229', '17748', '13680', '19842', '10094', '15395', '20207', '15592', '21173', '22888', '16067']","['12240', '23089', '21185', '27757', '9229', '10094', '15395', '13680', '17748', '21173', '19137', '19842', '12456', '23903', '20207']","['10094' '12240' '13680' '15395' '17748' '19842' '20207' '21173' '21185'
 '23089' '27757' '9229']"
tgm071_preop,"['23034', '9096', '10968', '24459', '19982', '26384', '24725', '14175', '27523', '15956', '15639', '11590', '8748', '19913', '18474']","['23034', '9096', '20924', '19982', '19913', '10748', '8748', '10968', '23759', '18474', '19230', '21148', '22749', '8756', '15561']",['10968' '18474' '19913' '19982' '23034' '8748' '9096']
